DateTime,Entries,UniqueIPs
1549197652,18587,35119
1549200013,18589,35124
1549204037,18590,35125
1549204207,18696,35187
1549207222,18698,35188
1549207688,18694,35186
1549208603,18674,35166
1549209924,18675,35167
1549214821,18737,35224
1549215327,18741,35228
1549217508,18734,35231
1549219663,18728,35225
1549221613,18732,35229
1549225802,18755,35225
1549228820,18757,35229
1549230557,18755,35227
1549236700,18777,35260
1549241354,18779,35262
1549243215,18788,35276
1549243806,18788,35531
1549247222,18308,35196
1549250409,18310,35198
1549251313,18296,35183
1549252297,18293,35180
1549257614,18296,35183
1549258021,18241,35116
1549263043,18235,35110
1549264811,18240,35116
1549268821,18217,35082
1549272024,18218,35082
1549274198,18217,35081
1549276512,18227,35091
1549279203,18234,35098
1549279829,18316,35135
1549284968,18315,35134
1549286417,18315,35135
1549289105,18316,35136
1549289822,18319,35139
1549290421,18426,35222
1549295539,18411,35205
1549301500,18518,35266
1549301713,18524,35272
1549303484,18513,35256
1549304120,18673,35427
1549306451,18671,35425
1549308910,18674,35428
1549312289,18716,35473
1549315213,18716,35491
1549317258,18717,35492
1549321965,18719,35494
1549322410,18722,35495
1549323023,18763,35501
1549328091,18762,35500
1549329599,18763,35501
1549333890,18316,35212
1549336811,18317,35213
1549337705,18301,35196
1549338442,18299,35194
1549343999,18304,35199
1549344421,18349,35225
1549348759,18349,35225
1549351593,18353,35232
1549355221,18380,35253
1549358403,18384,35254
1549359718,18383,35253
1549364857,18389,35259
1549365621,18389,35259
1549365728,18392,35263
1549366225,18454,35299
1549368379,18454,35044
1549370562,18452,35042
1549372813,18453,35044
1549377646,18543,35118
1549380028,18546,35121
1549381520,18519,35094
1549387217,18523,35099
1549387894,18609,35156
1549390524,18627,35217
1549392662,18624,35214
1549394420,18629,35218
1549398621,18689,35278
1549401618,18690,35280
1549404014,18689,35279
1549408821,18692,35281
1549409221,18783,35311
1549415061,18777,35305
1549420021,18369,35049
1549423216,18369,35050
1549424727,18353,35032
1549426309,18344,35023
1549430413,18349,35028
1549430821,18365,35045
1549437466,18362,35043
1549438511,18364,35045
1549441826,18419,35057
1549444811,18420,35058
1549447923,18416,35054
1549449309,18421,35059
1549452017,18425,35063
1549452626,18485,35092
1549452970,18487,35094
1549458941,18482,35089
1549459219,18483,35090
1549459826,18419,36435
1549462622,18420,36436
1549463221,18505,36500
1549465454,18526,36521
1549466432,18518,36767
1549467118,18522,36516
1549467315,18501,36494
1549469923,18498,36491
1549473616,18502,36496
1549474219,18602,36597
1549478126,18588,36604
1549480099,18549,37328
1549480829,18553,37331
1549481014,18554,37332
1549481723,18554,37587
1549484821,18580,37601
1549488024,18580,37602
1549492025,18579,37601
1549495217,18579,37601
1549495621,18589,37607
1549500018,18580,38364
1549502412,18583,38368
1549503119,18583,38368
1549506421,18244,38075
1549509610,18244,38076
1549510919,18228,38060
1549513370,18229,38061
1549516817,18231,38064
1549517221,18303,38145
1549524020,18308,38149
1549524485,18306,38147
1549528021,18312,38145
1549531225,18315,38148
1549535440,18320,38153
1549538657,18321,38155
1549539025,18387,38212
1549545619,18388,38213
1549546359,18386,38211
1549549022,18385,38210
1549549621,18480,38300
1549551623,18480,38555
1549552819,18482,38557
1549553289,18482,38556
1549554116,18446,38520
1549557387,18446,38520
1549560022,18448,38523
1549560725,18534,38574
1549560780,18532,38827
1549562422,18500,38823
1549567214,18504,38827
1549568122,18503,38826
1549571221,18536,38865
1549574413,18541,38871
1549578623,18543,38873
1549581617,18545,38875
1549582021,18562,38885
1549584035,18564,38887
1549588812,18567,38890
1549589887,18566,38889
1549592821,18235,38600
1549596913,18238,38603
1549597527,18223,38587
1549599072,18222,38586
1549603208,18226,38590
1549603621,18232,38605
1549610181,18233,38606
1549610415,18236,38609
1549614421,18272,38642
1549622117,18271,38641
1549624829,18273,38643
1549625221,18357,38723
1549627940,18358,38724
1549630214,18359,38725
1549631181,18358,38724
1549632019,18360,38726
1549635422,18357,38723
1549636021,18474,38817
1549639208,18478,38821
1549639866,18477,38565
1549640120,18452,38537
1549641142,18447,38534
1549642044,18446,38533
1549646821,18513,38591
1549647324,18514,38595
1549648824,18436,38580
1549653623,18437,38579
1549657621,18455,38590
1549660811,18456,38593
1549661748,18455,38337
1549662397,18454,38336
1549668014,18455,38334
1549668421,18512,38385
1549670412,18512,38385
1549671620,18513,38386
1549673222,18509,38382
1549675212,18512,38385
1549679221,18092,38033
1549682414,18093,38037
1549683309,18069,38013
1549684309,18065,38009
1549689610,18067,38011
1549690021,18099,38050
1549695584,18096,38047
1549696809,18098,38049
1549699708,18099,38050
1549700821,18154,38096
1549704007,18156,38098
1549706592,18156,38098
1549711351,18159,38101
1549711621,18256,38184
1549717614,18252,38180
1549718415,18252,38180
1549719148,18224,38659
1549722692,18309,38732
1549725623,18313,38736
1549726524,18288,38707
1549728980,18285,38704
1549732821,18287,38706
1549733510,18369,38777
1549735223,18356,38779
1549739721,18357,38780
1549740017,18358,38781
1549744222,18405,38827
1549747225,18404,38826
1549750320,18402,38824
1549754423,18406,38828
1549754821,18453,38876
1549761325,18450,38873
1549761607,18454,38877
1549765825,18053,38506
1549768821,18053,38508
1549770325,18036,38490
1549771875,18036,38489
1549776011,18042,38495
1549776421,18058,38523
1549782466,18058,38523
1549783219,18063,38528
1549787534,18111,38564
1549790428,18114,38567
1549793503,18115,38568
1549794926,18116,38569
1549798021,18305,38745
1549802192,18306,38746
1549804817,18308,38748
1549808222,18309,38749
1549808821,18411,38834
1549812021,18413,38836
1549813519,18386,38808
1549815284,18374,38796
1549816830,18384,38806
1549819211,18392,38814
1549819621,18472,38872
1549823431,18410,38823
1549824487,18322,38732
1549826247,18326,38736
1549826488,18328,38738
1549830421,18388,38786
1549833619,18390,38788
1549837069,18391,38789
1549840821,18394,38792
1549841482,18414,38825
1549848010,18413,38825
1549852223,17881,38347
1549856118,17884,38350
1549856726,17874,38340
1549858771,17875,38341
1549862422,17878,38344
1549863025,17941,38407
1549869621,17946,38412
1549869640,17945,38411
