DateTime,AddedIPs,RemovedIPs
1550088971,6,5
1550089175,44,26
1550089894,17,6
1550090615,14,9
1550090885,11,2
1550091336,12,11
1550092295,21,18
1550092810,8,5
1550093016,8,8
1550093742,15,9
1550094456,8,14
1550094729,5,19
1550096140,27,24
1550096652,5,4
1550096854,18,8
1550098602,5,0
1550099014,27,28
1550099735,180,312
1550100518,17,19
1550100970,1,1
1550101177,8,8
1550101895,8,10
1550102450,6,0
1550102616,10,8
1550103576,16,8
1550104353,9,5
1550105014,16,10
1550105735,7,8
1550106255,9,6
1550106455,6,16
1550107176,15,12
1550107894,8,6
1550108168,11,0
1550108614,8,10
1550109336,12,17
1550110115,22,7
1550110774,6,12
1550111495,11,5
1550112008,5,9
1550112215,15,6
1550112935,28,4
1550113654,6,7
1550113933,2,9
1550114374,13,15
1550115095,7,9
1550115609,2,2
1550115876,18,13
1550116537,5,16
1550117261,9,26
1550118038,5,7
1550118934,17,30
1550119655,5,9
1550119950,11,23
1550120080,1,0
1550120816,1,65
1550121576,9,34
1550121858,6,8
1550122296,11,13
1550123016,12,15
1550123791,14,10
1550124454,9,5
1550125175,13,12
1550125690,8,9
1550125894,11,6
1550126615,8,13
1550127335,7,7
1550127632,9,7
1550128054,3,6
1550129016,12,15
1550129792,33,29
1550130248,1,0
1550130517,23,38
1550131896,15,18
1550132412,19,12
1550132615,12,18
1550133334,10,7
1550134056,8,13
1550134335,12,13
1550135256,18,31
1550135974,6,17
1550136251,6,0
1550136694,17,18
1550137415,6,11
1550138193,18,36
1550139094,17,18
1550139815,13,25
1550140335,8,0
1550140537,14,17
1550141254,12,13
1550142256,8,6
1550142455,20,34
1550143176,6,19
1550143896,13,22
1550144168,4,0
1550144614,10,17
1550144888,1,1
1550145338,12,18
1550146112,15,25
1550147254,17,36
1550148033,10,23
1550148695,15,16
1550149414,8,17
1550149929,13,12
1550150374,16,14
1550151095,12,16
1550151872,37,19
1550152092,2,0
1550152535,12,13
1550153255,14,17
1550153775,8,15
1550153977,8,18
1550154695,10,14
1550155414,9,10
1550155688,9,0
1550156134,7,23
1550156855,10,14
1550157634,16,22
1550158295,18,18
1550159014,14,13
1550159530,6,22
1550159736,18,11
1550160456,18,9
1550161174,15,8
1550161447,21,2
1550161894,18,13
1550162614,14,10
1550163410,25,22
1550164054,11,9
1550164774,6,8
1550165287,11,4
1550165493,14,11
1550166215,17,11
1550166935,11,14
1550167233,5,7
1550167654,16,19
1550168375,13,8
1550169157,21,20
1550169814,14,8
1550170535,13,7
1550171057,4,0
1550171254,62,20
1550171975,18,26
1550172694,13,14
1550172968,14,8
1550173415,15,19
1550174188,13,19
1550174912,28,25
1550175575,16,16
1550176294,13,19
1550176815,4,7
1550177014,16,13
1550177734,11,13
1550178759,26,20
1550179414,18,8
1550180135,16,16
1550180656,8,4
1550180853,19,8
1550182570,5,9
1550182775,32,33
1550184525,9,6
1550184935,23,39
1550185895,308,34
1550186423,6,0
1550186615,10,6
1550187334,9,5
1550188056,11,9
1550188338,3,11
1550188838,3,2
1550189240,13,14
1550189976,7,14
1550190253,17,0
1550190694,11,4
1550191415,10,9
1550192441,1,29109
1550193334,29082,0
1550194056,12,15
1550194338,5,11
1550194777,10,9
1550195495,9,9
1550195768,1,0
1550196280,6,7
1550196697,18,13
1550197414,7,7
1550198435,19,12
1550199094,6,19
1550199816,6,22
1550200336,10,5
1550200536,5,10
1550201255,13,13
1550201975,4,10
1550202258,12,0
1550202693,12,4
1550203472,13,11
1550204136,10,10
1550204880,5,7
1550205579,15,5
1550206098,10,26
1550206294,13,5
1550207014,14,1
1550207682,2,6
1550208032,13,0
1550208456,62,13
1550209116,9,11
1550209954,22,11
1550210614,3,7
1550211335,7,15
1550212055,46,12
1550212775,6,11
1550213495,6,6
1550214033,5,20
1550214215,12,4
1550214934,12,4
1550216137,25,18
1550216915,52,43
1550217574,10,6
1550218351,10,6
1550219014,9,11
1550219734,8,12
1550220456,5,9
1550220730,9,15
1550221655,53,19
1550222374,8,7
1550222668,12,0
1550223574,17,19
1550224294,10,9
1550224585,10,5
1550225016,12,14
1550225738,7,18
1550226513,17,8
1550227174,10,14
1550227896,12,9
1550228425,6,3
1550228615,9,14
1550229334,15,5
1550230055,10,9
1550230580,4,5
1550231494,17,20
1550232214,8,10
1550232494,4,0
1550232991,7,9
1550233655,10,10
1550234374,8,7
1550235095,12,15
1550235814,9,6
1550236334,2,8
1550236535,8,9
1550237255,14,10
1550237975,14,12
1550238694,11,9
1550239473,12,13
1550240207,19,39
1550240854,10,5
1550241575,11,10
1550242088,1,13
1550242295,13,10
1550243495,83,15
1550244010,12,18
1550244215,3,12
1550244935,116,9
1550245829,21,30
1550247606,2,0
1550247874,46,49
1550248536,6,10
1550249255,10,17
1550249773,3,0
1550250455,21,17
1550251174,11,4
1550251687,14,19
1550251895,6,9
1550252615,8,15
1550253334,12,14
1550253620,4,5
1550254055,13,14
1550254774,10,12
1550255798,23,24
1550256455,12,11
1550257706,4,4
1550258133,19,75
1550259631,18,30
1550260294,12,13
1550261015,10,9
1550261533,9,0
1550261735,18,17
1550262248,3,1
1550262935,18,18
1550263654,9,15
1550264854,17,20
1550265371,7,13
1550265574,7,10
1550266296,10,16
1550267014,4,13
1550267292,16,0
1550267736,12,14
1550268454,8,11
1550269237,10,22
1550270374,15,9
1550271158,4,0
1550271574,13,11
1550272294,11,13
1550273070,47,37
1550273742,8,13
1550274455,9,10
1550274964,1,5
1550275655,114,22
1550276376,15,7
1550277161,5,4
1550277574,24,19
1550278294,13,6
1550279081,26,10
1550279734,43,8
1550280454,44,8
1550280980,10,6
1550281895,58,20
1550282616,9,10
1550282893,4,11
1550283814,24,20
1550284534,17,10
1550284815,7,10
1550285255,12,6
1550286759,19,14
1550287414,11,9
1550288134,8,10
1550288854,11,8
1550289575,15,8
1550290297,10,14
1550290573,6,6
1550290978,2,6
1550291773,0,1
1550292151,15,16
1550292570,6,6
1550292939,4,13
1550293657,12,9
1550294433,11,14
1550295574,13,65
1550296351,8,25
1550297015,12,5
1550297736,7,8
1550298250,12,0
1550298695,18,49
1550299415,15,7
1550300193,48,14
1550300855,49,16
1550301575,9,19
1550302091,11,10
1550302294,18,10
1550303495,21,24
1550304040,33,122
1550304217,12,5
1550304935,6,9
1550305958,22,38
1550306411,5,2
1550306614,12,4
1550307334,6,11
1550307858,1,15
1550308055,13,10
1550308774,7,10
1550309495,15,6
1550309768,5,14
1550310215,7,12
1550310934,13,9
1550311715,16,24
1550312375,13,6
1550313094,13,16
1550313816,16,10
1550314535,11,7
1550315533,4,2
1550315975,18,27
1550316694,8,11
1550317475,3,9
1550318855,35,21
1550320056,23,13
1550321048,1,6
1550321308,16,50
1550321974,10,12
1550323237,89,32
1550323894,17,16
1550325157,36,27
1550325814,33,10
1550326535,27,6
1550327054,2,0
1550327255,11,8
1550327974,10,10
1550328694,8,13
1550328964,7,0
1550329415,20,75
1550330134,9,4
1550330910,16,33
1550331574,13,106
1550332293,11,10
1550332819,2,9
1550333015,14,6
1550333735,16,13
1550334454,12,11
1550334736,3,0
1550335175,13,9
1550335691,4,4
1550335895,15,6
1550336677,19,25
1550340290,7,5
1550340696,68,64
1550341415,7,10
1550342201,35,17
1550342854,12,9
1550343574,12,9
1550344101,5,10
1550344295,13,14
1550345014,11,5
1550346057,12,30
1550346695,12,10
1550347416,7,11
1550347948,6,13
1550348135,12,19
1550348855,4,12
1550349575,13,14
1550349852,15,12
1550350355,12,10
1550351014,9,9
1550351804,17,21
1550352457,12,8
1550353175,14,7
1550353691,8,0
1550353895,12,8
1550355095,23,17
1550355611,12,9
1550355815,7,6
1550356534,15,12
1550358790,7,7
1550359204,63,3857
1550359895,9,19
1550360671,22,16
1550361339,13,102
1550362841,29,26
1550363496,12,13
1550364215,7,10
1550364731,4,3
1550364985,11,11
1550365655,10,14
1550366375,6,25
1550366678,9,8
1550367095,7,26
1550367816,7,21
1550368589,15,28
1550369255,9,12
1550369975,11,14
1550370495,11,0
1550370699,67,17
1550371414,9,15
1550372137,9,14
1550372422,4,11
1550372854,15,9
1550373574,7,12
1550374359,18,8
1550375015,12,13
1550375736,6,8
1550376263,6,9
1550376455,9,15
1550377535,15,11
1550378204,5,10
1550378434,9,10
1550379096,2,5
1550379613,1,2
1550380123,26,29
1550380779,10,7
1550381511,2,8
1550382013,2,0
1550382215,9,10
1550382935,13,9
1550383958,23,23
1550384614,11,11
1550385335,6,9
1550385857,13,18
1550386055,13,10
1550387255,12,88
1550387774,13,0
1550387974,9,10
1550388695,14,15
1550389415,10,14
1550389691,8,10
1550390616,21,17
1550391150,98,6
1550391334,67,5
1550391616,11,0
1550392055,7,16
1550392774,14,6
1550393555,11,0
1550394248,0,3
1550394454,23,28
1550395175,10,5
1550395453,6,4
1550395896,15,19
1550396615,14,9
1550397395,25,21
1550398054,9,8
1550398774,16,15
1550399289,5,9
1550399497,14,12
1550400220,4,17
1550401228,2,0
1550401655,14,20
1550402375,12,14
