DateTime,AddedIPs,RemovedIPs
1549879323,2,0
1549880523,1,0
1549881122,2,0
1549881723,4,0
1549882923,1,0
1549884123,1,0
1549884722,1,0
1549885323,4,0
1549885923,2,0
1549887123,1,0
1549887723,1,0
1549888923,4,0
1549890123,2,0
1549891323,1,0
1549892523,3,0
1549893723,1,0
1549894323,2,0
1549894922,10,0
1549896122,5,0
1549897323,1,0
1549898523,1,0
1549900923,10,0
1549902724,2,0
1549903323,1,0
1549904523,6,0
1549906323,2,0
1549906923,1,0
1549908123,2,0
1549910523,1,0
1549912326,1,0
1549912924,1,0
1549914123,4,0
1549914723,10,0
1549915323,1,0
1549915923,4,0
1549916523,5,0
1549917723,2,0
1549918323,1,0
1549918924,6,0
1549919523,5,0
1549920124,3,0
1549921323,2,0
1549922523,1,0
1549923123,2,0
1549923722,3,0
1549924923,3,0
1549926123,3,0
1549927324,3,0
1549928523,2,0
1549929723,2,0
1549930323,1,0
1549930923,1,0
1549933324,5,0
1549933923,1,0
1549936924,4,0
1549938123,4,0
1549939322,3,0
1549940523,4,0
1549941723,5,0
1549942323,5,0
1549942923,5,0
1549944123,6,0
1549944724,1,0
1549945323,4,0
1549946523,1,0
1549947122,3,0
1549947723,3,0
1549948923,1,0
1549950123,1,0
1549951323,6,0
1549952523,1,0
1549953723,4,0
1549954922,2,0
1549956123,4,0
1549956723,2,0
1549957322,2,0
1549958523,6,0
1549959723,2,0
1549960323,3,0
1549960923,1,0
1549963323,1,0
1549964523,4,0
1549965723,2,0
1549966923,1,0
1549968123,2,0
1549968723,6,0
1549969323,2,0
1549971122,5,0
1549972923,1,0
1549975323,1,0
1549976524,2,0
1549978323,2,0
1549980123,5,0
1549981323,13,0
1549981923,1,0
1549982523,4,0
1549987237,4,0
1549987323,3,0
1549987923,2,0
1549988524,3,0
1549989124,13,0
1549989723,4,0
1549990923,13,0
1549993323,2,0
1549994523,3,0
1549995723,6,0
1549997522,1,0
1549998123,1,0
1549999324,4,0
1550000523,8,0
1550001723,3,0
1550002923,4,0
1550004123,5,0
1550004722,4,0
1550005322,2,0
1550005923,4,0
1550006523,3,0
1550007123,3,0
1550008923,2,0
1550010123,1,0
1550010723,3,0
1550011325,6,0
1550012523,9,0
1550013723,3,0
1550014323,1,0
1550016125,8,0
