DateTime,AddedIPs,RemovedIPs
1549429249,12,30
1549431137,22,16
1549433054,28,15
1549434991,17,26
1549436896,8,31
1549438820,28,33
1549440755,26,40
1549442651,30,35
1549444572,36,53
1549446495,18,32
1549448421,30,36
1549450350,34,32
1549452252,26,1201
1549454188,47,37
1549456111,453,0
1549458029,50,27
1549459933,42,20
1549462119,45,11
1549464012,38,14
1549465959,37,8
1549467847,29,11
1549469792,20,13
1549471698,25,14
1549473613,28,12
1549475773,37,20
1549478447,32,24
1549480334,29,9
1549482529,33,16
1549484436,25,22
1549486335,22,21
1549488247,32,17
1549490191,23,18
1549492091,24,27
1549494038,30,28
1549495960,26,25
1549498148,374,0
1549500256,22,29
1549502181,32,24
1549504116,27,13
1549506038,19,10
1549507937,21,7
1549509859,23,7
1549511787,27,9
1549513690,27,14
1549515619,19,11
1549517559,18,10
1549519453,16,14
1549521367,30,17
1549523291,14,10
1549525230,21,12
1549527132,20,19
1549529077,29,15
1549530971,44,26
1549532897,30,14
1549534831,29,32
1549536742,32,16
1549538656,23,1343
1549540594,59,41
1549542512,647,0
1549544430,31,31
1549546356,28,15
1549548264,23,36
1549550191,27,17
1549552119,28,55
1549554013,41,24
1549555936,30,15
1549557876,27,17
1549560048,47,23
1549561950,28,15
1549563857,30,21
1549565788,37,20
1549567697,28,19
1549569610,50,25
1549571559,27,28
1549573451,27,39
1549575374,26,33
1549577313,32,37
1549579240,26,34
1549581138,20,29
1549583078,31,23
1549585230,588,0
1549587131,28,24
1549589052,17,15
1549591235,47,33
1549593162,20,9
1549595077,16,58
1549596970,32,16
1549599143,28,21
1549601057,19,15
1549602976,47,16
1549604913,40,17
1549606833,41,21
1549608753,38,15
1549610916,37,21
1549612840,38,25
1549614736,35,26
1549616675,27,33
1549618569,25,26
1549620494,49,38
1549622430,24,33
1549624332,14,1332
1549626249,23,39
1549628442,631,2
1549630352,24,25
1549632252,40,30
1549634169,30,31
1549636108,24,18
1549638021,30,23
1549639958,22,22
1549641853,21,30
1549643769,37,23
1549645712,31,19
1549647618,27,20
1549649529,21,21
