DateTime,Entries,UniqueIPs
1549429249,2826,2826
1549431137,2832,2832
1549433054,2845,2845
1549434991,2836,2836
1549436896,2813,2813
1549438820,2808,2808
1549440755,2794,2794
1549442651,2789,2789
1549444572,2772,2772
1549446495,2758,2758
1549448421,2752,2752
1549450350,2754,2754
1549452252,1579,1579
1549454188,1589,1589
1549456111,2042,2042
1549458029,2065,2065
1549459933,2087,2087
1549462119,2121,2121
1549464012,2145,2145
1549465959,2174,2174
1549467847,2192,2192
1549469792,2199,2199
1549471698,2210,2210
1549473613,2226,2226
1549475773,2243,2243
1549478447,2251,2251
1549480334,2271,2271
1549482529,2288,2288
1549484436,2291,2291
1549486335,2292,2292
1549488247,2307,2307
1549490191,2312,2312
1549492091,2309,2309
1549494038,2311,2311
1549495960,2312,2312
1549498148,2686,2686
1549500256,2679,2679
1549502181,2687,2687
1549504116,2701,2701
1549506038,2710,2710
1549507937,2724,2724
1549509859,2740,2740
1549511787,2758,2758
1549513690,2771,2771
1549515619,2779,2779
1549517559,2787,2787
1549519453,2789,2789
1549521367,2802,2802
1549523291,2806,2806
1549525230,2815,2815
1549527132,2816,2816
1549529077,2830,2830
1549530971,2848,2848
1549532897,2864,2864
1549534831,2861,2861
1549536742,2877,2877
1549538656,1557,1557
1549540594,1575,1575
1549542512,2222,2222
1549544430,2222,2222
1549546356,2235,2235
1549548264,2222,2222
1549550191,2232,2232
1549552119,2205,2205
1549554013,2222,2222
1549555936,2237,2237
1549557876,2247,2247
1549560048,2271,2271
1549561950,2284,2284
1549563857,2293,2293
1549565788,2310,2310
1549567697,2319,2319
1549569610,2344,2344
1549571559,2343,2343
1549573451,2331,2331
1549575374,2324,2324
1549577313,2319,2319
1549579240,2311,2311
1549581138,2302,2302
1549583078,2310,2310
1549585230,2898,2898
1549587131,2902,2902
1549589052,2904,2904
1549591235,2918,2918
1549593162,2929,2929
1549595077,2887,2887
1549596970,2903,2903
1549599143,2910,2910
1549601057,2914,2914
1549602976,2945,2945
1549604913,2968,2968
1549606833,2988,2988
1549608753,3011,3011
1549610916,3027,3027
1549612840,3040,3040
1549614736,3049,3049
1549616675,3043,3043
1549618569,3042,3042
1549620494,3053,3053
1549622430,3044,3044
1549624332,1726,1726
1549626249,1710,1710
1549628442,2339,2339
1549630352,2338,2338
1549632252,2348,2348
1549634169,2347,2347
1549636108,2353,2353
1549638021,2360,2360
1549639958,2360,2360
1549641853,2351,2351
1549643769,2365,2365
1549645712,2377,2377
1549647618,2384,2384
1549649529,2384,2384
1549651470,2379,2379
1549653373,2398,2398
1549655290,2415,2415
1549657231,2431,2431
