DateTime,AddedIPs,RemovedIPs
1549756813,1471,1054
1549758614,1465,1200
1549760414,1655,1391
1549761317,862,750
1549762216,772,769
1549764016,2227,1764
1549764916,1353,962
1549765816,1431,849
1549767613,2362,1425
1549768513,970,680
1549769415,958,690
1549771214,2057,2423
1549772113,951,1191
1549773012,969,998
1549774812,1799,2026
1549775712,903,1638
1549776612,1009,1626
1549778411,1995,4193
1549779311,1040,898
1549780212,922,897
1549782014,1952,2712
1549782916,1058,1120
1549783811,1115,1069
1549785615,1918,1992
1549786512,777,702
1549787414,567,585
1549789214,1669,1578
1549790110,688,1065
1549791013,691,1002
1549792810,2070,2173
1549793712,1057,957
1549794611,1938,1316
1549796412,3886,2481
1549797312,1374,981
1549798210,1560,913
1549800012,2665,2096
1549800914,1046,1068
1549801812,1247,1378
1549803611,2035,3353
1549804513,1155,1496
1549805411,1087,1008
1549807211,2428,2456
1549808114,1350,1279
1549809912,2008,2652
1549811713,1494,2287
1549812613,858,1056
1549814415,1425,2259
1549815314,845,1568
1549817112,1715,2441
1549818014,902,576
1549818914,948,601
1549819812,877,709
1549821615,1614,1999
1549822514,821,577
1549823413,947,696
1549825215,1606,1480
1549826112,805,895
1549827015,904,987
1549828813,2268,1677
1549829714,2610,855
1549830611,1126,922
1549832416,2095,2454
1549833314,1208,1058
1549834217,1067,1266
1549836016,1822,2812
1549836914,795,1634
1549837814,917,949
1549839614,1691,1375
1549840517,996,773
1549841412,1145,955
1549843214,2019,1768
1549845012,2141,1621
1549846812,2183,1768
1549847714,939,836
1549848612,1032,845
1549850413,1946,2257
1549851313,879,1068
1549853116,1951,2345
1549854912,1702,2437
1549855813,1329,1323
1549857613,2195,2753
1549859415,1859,1694
1549861215,1879,1642
1549862113,755,955
1549863016,981,1210
1549864815,2523,2101
1549865712,994,652
1549866614,1376,930
1549868416,2404,2297
1549869313,1015,820
1549870215,1352,741
1549872015,2092,1448
1549872914,185,69
1549873813,249,27
1549875612,956,307
1549876515,443,96
1549877413,413,142
1549879212,1125,293
1549880113,832,196
1549881013,448,97
1549882814,759,233
1549883712,745,157
1549885513,835,139
1549886413,377,73
1549887310,636,163
1549888211,527,192
1549890009,804,454
1549890911,399,233
1549891810,469,222
1549893609,1131,612
1549894509,793,289
1549895410,850,306
1549897201,1127,18418
1549898101,1069,0
1549899901,2293,0
1549900801,1397,0
1549901702,1267,1
1549902601,810,1
1549904402,1639,2
1549905302,950,0
1549907103,1266,0
1549908002,834,0
1549908902,880,0
1549909802,815,0
1549911602,834,0
1549912503,128,0
1549913403,167,0
1549915202,319,0
1549916102,149,1
1549917903,268,1
1549918802,115,1
1549919702,100,1982
1549920602,224,948
1549922402,531,1998
1549923303,227,1314
1549924202,309,1259
1549926002,717,1601
1549926902,179,755
1549928702,4287,1432
1549929603,1668,604
1549930503,1663,787
1549932303,2561,1651
1549933203,1101,650
1549934104,818,134
1549935904,1783,224
1549936804,773,122
1549937704,764,152
1549939504,1471,5165
1549940405,742,3485
1549941326,559,1337
1549943105,1697,2838
1549944005,865,1308
1549945806,1576,1995
1549947606,1626,1620
1549948507,676,772
1549950307,1303,1519
1549951206,600,934
1549952108,615,693
1549953908,1020,1681
1549955709,794,1338
1549956608,409,447
1549958408,857,1110
1549959308,642,729
1549960209,537,622
1549962009,945,1310
1549962908,438,662
1549963808,488,541
1549965609,1029,1063
1549966509,549,321
1549967408,473,366
1549969208,1067,953
1549970108,89,9
1549971909,179,22
1549972806,155,13
1549974610,2405,1604
1549976410,1775,1750
1549977310,928,580
1549979109,1709,1117
1549980008,1973,963
1549980908,1118,832
1549982710,1822,2512
1549983610,746,3066
1549984510,1871,0
1549986309,1572,1467
1549987210,2155,980
1549989010,1886,2846
1549990811,1535,1869
1549991710,2364,1070
1549992612,888,757
1549994411,1284,1304
1549995312,709,824
1549996210,701,1688
1549998012,1125,3082
1549998910,537,1079
1550000711,1117,3966
1550001610,417,796
1550003410,982,1654
1550005213,958,934
1550006111,583,446
1550007911,939,905
1550008813,500,825
1550009712,655,573
1550010613,618,527
1550012411,1061,1261
1550013312,511,508
1550015112,819,681
1550016012,407,380
1550017814,1103,1068
1550019613,1396,872
1550020513,766,483
1550021414,647,462
1550023212,1398,770
1550024114,657,389
1550025018,649,491
1550026813,1546,1620
1550027730,558,523
1550028617,841,760
1550030414,1519,2072
1550032216,1620,1674
1550034016,1624,1969
1550034914,788,688
1550035814,843,413
1550037613,1510,1014
1550038514,621,495
1550039413,699,528
1550041214,1572,1020
1550042116,587,498
1550043913,1275,1487
1550045714,1976,1816
1550047513,1309,1461
1550048412,594,680
1550049314,705,727
1550051113,367,210
1550052014,79,14
1550052914,101,22
1550054713,229,44
1550056513,234,18
1550057413,134,29
1550059211,238,42
1550060112,98,3
1550061012,93,20
1550062812,434,64
1550064611,362,97
1550066411,420,176
1550067312,187,90
1550068209,1016,324
1550070012,2205,680
1550071811,1838,628
1550073608,1546,1289
1550074512,835,592
1550076308,1769,1113
1550077208,830,589
1550078108,1016,658
1550079909,1841,3066
1550080808,960,1968
1550081709,844,1422
1550082608,985,1263
1550084409,1960,2420
1550085309,1064,954
1550087109,1902,1903
1550088008,901,946
1550088909,919,709
1550090706,1800,1506
1550091608,841,852
1550092508,843,764
1550093407,815,932
1550095209,1574,1729
1550096109,797,983
1550097008,319,10694
1550098808,9085,0
1550099708,629,1259
1550100609,603,1328
1550102409,1057,2208
1550104211,976,2141
1550106010,913,1498
1550106911,521,954
1550108711,1082,1369
1550110511,1257,1092
1550112312,1310,998
1550113214,785,415
1550114122,689,378
1550115912,1642,1193
1550117714,1489,1157
1550118614,843,475
1550120412,1776,1254
1550121313,920,907
1550123112,1856,1399
1550124014,913,688
1550124913,956,810
1550126712,1849,1747
1550127614,1564,1208
1550128514,710,719
1550129412,620,652
1550131213,1386,1421
1550132114,695,861
1550133011,600,786
1550134812,1428,1410
1550135713,635,547
1550137513,1460,2048
1550139311,1339,1482
1550140213,642,814
1550142014,1125,1396
1550142912,505,667
1550144713,773,1573
1550145613,468,618
1550147413,770,1648
1550149212,799,1048
1550151010,916,1030
1550152812,837,787
1550153713,409,232
1550155513,808,502
1550156412,459,340
1550157312,611,527
1550159111,1072,611
1550160011,551,434
1550160912,551,330
1550162712,945,705
1550163611,711,393
1550164510,560,389
1550166311,1337,990
1550167211,599,438
1550168110,636,510
1550169910,1224,816
1550170813,743,536
1550172611,2976,1389
1550174411,1554,1500
1550175312,807,895
1550177113,1429,1408
1550178011,709,537
1550178910,625,649
1550179810,671,525
1550181611,1314,1833
1550182512,663,1165
1550185210,2010,2712
1550186111,706,713
1550187011,697,660
1550188810,1368,1997
1550189711,620,913
1550191509,1184,1378
1550192411,806,936
1550193310,664,946
1550194211,610,4211
1550196010,3140,0
1550196911,399,573
1550197811,491,4334
1550199612,3281,0
1550200541,512,495
1550201410,537,635
1550203210,1182,565
1550204111,617,509
1550205012,488,337
1550206810,1115,698
1550207711,661,487
1550208612,593,440
1550210412,1525,643
1550211312,608,129
1550212210,779,208
1550214011,1369,584
1550214911,664,368
1550215811,670,421
1550217610,1576,1386
1550218512,1319,934
1550219412,802,556
1550221209,1155,1182
1550222110,857,430
1550223909,1315,1276
1550224811,630,624
1550225708,694,825
1550226611,1768,1073
1550228409,1268,1735
1550229308,724,703
1550231110,1311,1587
1550232010,627,867
1550232911,737,961
1550234708,1371,1205
1550235610,662,612
1550236510,633,620
1550237410,585,525
1550239209,1136,1038
1550240111,437,629
1550241908,1350,2238
1550242810,516,381
1550243709,476,428
1550244610,552,636
1550246409,1021,1172
1550247308,393,597
1550248208,468,7947
1550250009,7360,0
1550250909,453,680
1550252710,1150,1916
1550253608,607,685
1550255409,1203,1183
1550257209,1417,1497
1550258108,513,596
1550259909,1263,1105
1550260809,694,530
1550261710,592,506
1550262608,616,617
1550264409,1220,1122
1550265309,678,456
1550267109,1071,1076
1550268009,493,605
1550269809,1051,1141
1550271608,1058,1174
1550273410,3485,1671
1550275209,1116,1206
1550276109,625,524
1550277909,1160,1103
1550279708,1138,1479
1550281508,1229,1098
1550282409,652,543
1550283308,596,497
1550285108,1187,1109
1550286010,672,1386
1550287822,1138,2237
1550289609,1695,1375
1550290510,478,780
1550292310,1134,1207
1550294110,1218,1213
1550295910,1342,1415
1550296810,607,719
1550297710,706,605
1550299510,1383,1292
1550301311,1364,1382
1550303111,1388,1602
1550304010,814,612
1550304910,504,577
1550306709,1017,843
1550307610,921,527
1550308510,559,551
1550310309,1074,1086
1550311211,782,634
1550312110,723,577
1550313910,1296,1015
1550314809,941,533
1550316611,1468,982
1550318411,1317,1067
1550319309,571,633
1550321110,1855,897
1550322010,1926,769
1550322912,1045,878
1550324710,1498,835
1550325609,679,366
1550326510,635,750
1550327409,504,675
1550329210,2006,1592
1550330110,1222,983
1550331908,2315,1961
1550332810,1197,834
1550333709,914,650
1550335509,2019,1904
1550336408,965,1551
1550338209,2094,2543
1550340009,2158,1749
1550340910,1020,609
1550342710,1852,1901
1550343609,891,1205
1550344508,1239,1336
1550346309,2403,2617
1550348110,2265,2434
1550349909,298,15119
1550350808,14550,0
1550351710,826,987
1550353510,1990,2137
1550354409,1020,1029
1550355310,1002,852
1550357110,1967,1537
1550358910,1732,1896
1550360708,1860,1797
1550361608,979,885
