DateTime,Entries,UniqueIPs
1549756813,10957,10957
1549758614,11222,11222
1549760414,11486,11486
1549761317,11598,11598
1549762216,11601,11601
1549764016,12064,12064
1549764916,12455,12455
1549765816,13037,13037
1549767613,13974,13974
1549768513,14264,14264
1549769415,14532,14532
1549771214,14166,14166
1549772113,13926,13926
1549773012,13897,13897
1549774812,13670,13670
1549775712,12935,12935
1549776612,12318,12318
1549778411,10120,10120
1549779311,10262,10262
1549780212,10287,10287
1549782014,9527,9527
1549782916,9465,9465
1549783811,9511,9511
1549785615,9437,9437
1549786512,9512,9512
1549787414,9494,9494
1549789214,9585,9585
1549790110,9208,9208
1549791013,8897,8897
1549792810,8794,8794
1549793712,8894,8894
1549794611,9516,9516
1549796412,10921,10921
1549797312,11314,11314
1549798210,11961,11961
1549800012,12530,12530
1549800914,12508,12508
1549801812,12377,12377
1549803611,11059,11059
1549804513,10718,10718
1549805411,10797,10797
1549807211,10769,10769
1549808114,10840,10840
1549809912,10196,10196
1549811713,9403,9403
1549812613,9205,9205
1549814415,8371,8371
1549815314,7648,7648
1549817112,6922,6922
1549818014,7248,7248
1549818914,7595,7595
1549819812,7763,7763
1549821615,7378,7378
1549822514,7622,7622
1549823413,7873,7873
1549825215,7999,7999
1549826112,7909,7909
1549827015,7826,7826
1549828813,8417,8417
1549829714,10172,10172
1549830611,10376,10376
1549832416,10017,10017
1549833314,10167,10167
1549834217,9968,9968
1549836016,8978,8978
1549836914,8139,8139
1549837814,8107,8107
1549839614,8423,8423
1549840517,8646,8646
1549841412,8836,8836
1549843214,9087,9087
1549845012,9607,9607
1549846812,10022,10022
1549847714,10125,10125
1549848612,10312,10312
1549850413,10001,10001
1549851313,9812,9812
1549853116,9418,9418
1549854912,8683,8683
1549855813,8689,8689
1549857613,8131,8131
1549859415,8296,8296
1549861215,8533,8533
1549862113,8333,8333
1549863016,8104,8104
1549864815,8526,8526
1549865712,8868,8868
1549866614,9314,9314
1549868416,9421,9421
1549869313,9616,9616
1549870215,10227,10227
1549872015,10871,10871
1549872914,10987,10987
1549873813,11209,11209
1549875612,11858,11858
1549876515,12205,12205
1549877413,12476,12476
1549879212,13308,13308
1549880113,13944,13944
1549881013,14295,14295
1549882814,14821,14821
1549883712,15409,15409
1549885513,16105,16105
1549886413,16409,16409
1549887310,16882,16882
1549888211,17217,17217
1549890009,17567,17567
1549890911,17733,17733
1549891810,17980,17980
1549893609,18499,18499
1549894509,19003,19003
1549895410,19547,19547
1549897201,2256,2256
1549898101,3325,3325
1549899901,5618,5618
1549900801,7015,7015
1549901702,8281,8281
1549902601,9090,9090
1549904402,10727,10727
1549905302,11677,11677
1549907103,12943,12943
1549908002,13777,13777
1549908902,14657,14657
1549909802,15472,15472
1549911602,16306,16306
1549912503,16434,16434
1549913403,16601,16601
1549915202,16920,16920
1549916102,17068,17068
1549917903,17335,17335
1549918802,17449,17449
1549919702,15567,15567
1549920602,14843,14843
1549922402,13376,13376
1549923303,12289,12289
1549924202,11339,11339
1549926002,10455,10455
1549926902,9879,9879
1549928702,12734,12734
1549929603,13798,13798
1549930503,14674,14674
1549932303,15584,15584
1549933203,16035,16035
1549934104,16719,16719
1549935904,18278,18278
1549936804,18929,18929
1549937704,19541,19541
1549939504,15847,15847
1549940405,13104,13104
1549941326,12326,12326
1549943105,11185,11185
1549944005,10742,10742
1549945806,10323,10323
1549947606,10329,10329
1549948507,10233,10233
1549950307,10017,10017
1549951206,9683,9683
1549952108,9605,9605
1549953908,8944,8944
1549955709,8400,8400
1549956608,8362,8362
1549958408,8109,8109
1549959308,8022,8022
1549960209,7937,7937
1549962009,7572,7572
1549962908,7348,7348
1549963808,7295,7295
1549965609,7261,7261
1549966509,7489,7489
1549967408,7596,7596
1549969208,7710,7710
1549970108,7790,7790
1549971909,7947,7947
1549972806,8089,8089
1549974610,8890,8890
1549976410,8915,8915
1549977310,9263,9263
1549979109,9855,9855
1549980008,10865,10865
1549980908,11151,11151
1549982710,10461,10461
1549983610,8141,8141
1549984510,10012,10012
1549986309,10117,10117
1549987210,11292,11292
1549989010,10332,10332
1549990811,9998,9998
1549991710,11292,11292
1549992612,11423,11423
1549994411,11403,11403
1549995312,11288,11288
1549996210,10301,10301
1549998012,8344,8344
1549998910,7802,7802
1550000711,4953,4953
1550001610,4574,4574
1550003410,3902,3902
1550005213,3926,3926
1550006111,4063,4063
1550007911,4097,4097
1550008813,3772,3772
1550009712,3854,3854
1550010613,3945,3945
1550012411,3745,3745
1550013312,3748,3748
1550015112,3886,3886
1550016012,3913,3913
1550017814,3948,3948
1550019613,4472,4472
1550020513,4755,4755
1550021414,4940,4940
1550023212,5568,5568
1550024114,5836,5836
1550025018,5994,5994
1550026813,5920,5920
1550027730,5955,5955
1550028617,6036,6036
1550030414,5483,5483
1550032216,5429,5429
1550034016,5084,5084
1550034914,5184,5184
1550035814,5614,5614
1550037613,6110,6110
1550038514,6236,6236
1550039413,6407,6407
1550041214,6959,6959
1550042116,7048,7048
1550043913,6836,6836
1550045714,6996,6996
1550047513,6844,6844
1550048412,6758,6758
1550049314,6736,6736
1550051113,6893,6893
1550052014,6958,6958
1550052914,7037,7037
1550054713,7222,7222
1550056513,7438,7438
1550057413,7543,7543
1550059211,7739,7739
1550060112,7834,7834
1550061012,7907,7907
1550062812,8277,8277
1550064611,8542,8542
1550066411,8786,8786
1550067312,8883,8883
1550068209,9575,9575
1550070012,11100,11100
1550071811,12310,12310
1550073608,12567,12567
1550074512,12810,12810
1550076308,13466,13466
1550077208,13707,13707
1550078108,14065,14065
1550079909,12840,12840
1550080808,11832,11832
1550081709,11254,11254
1550082608,10976,10976
1550084409,10516,10516
1550085309,10626,10626
1550087109,10625,10625
1550088008,10580,10580
1550088909,10790,10790
1550090706,11084,11084
1550091608,11073,11073
1550092508,11152,11152
1550093407,11035,11035
1550095209,10880,10880
1550096109,10694,10694
1550097008,319,319
1550098808,9404,9404
1550099708,8774,8774
1550100609,8049,8049
1550102409,6898,6898
1550104211,5733,5733
1550106010,5148,5148
1550106911,4715,4715
1550108711,4428,4428
1550110511,4593,4593
1550112312,4905,4905
1550113214,5275,5275
1550114122,5586,5586
1550115912,6035,6035
1550117714,6367,6367
1550118614,6735,6735
1550120412,7257,7257
1550121313,7270,7270
1550123112,7727,7727
1550124014,7952,7952
1550124913,8098,8098
1550126712,8200,8200
1550127614,8556,8556
1550128514,8547,8547
1550129412,8515,8515
1550131213,8480,8480
1550132114,8314,8314
1550133011,8128,8128
1550134812,8146,8146
1550135713,8234,8234
