DateTime,AddedIPs,RemovedIPs
1549683365,6,13
1549683848,12,4
1549684325,3,9
1549684815,9,4
1549685285,5,9
1549685768,11,7
1549686246,8,12
1549686724,9,7
1549687207,7,7
1549687684,7,10
1549688168,10,7
1549688645,7,11
1549689126,9,5
1549689610,6,8
1549690084,7,8
1549690565,9,9
1549691045,8,8
1549691525,13,10
1549692010,5,6
1549692489,5,10
1549692964,12,7
1549693690,6,6
1549694168,6,5
1549694644,5,8
1549695129,7,8
1549695682,9,8
1549696087,4,7
1549696566,8,7
1549697046,4,5
1549697527,9,9
1549698009,9,5
1549698484,5,9
1549698965,14,10
1549699449,5,4
1549699926,6,7
1549700404,7,6
1549700885,3,0
1549701367,0,1
1549701846,1,1
1549702325,1,0
1549707605,0,1
1549708088,1,0
1549709046,0,1
1549709530,1,0
1549760890,2,10
1549761369,7,6
1549761845,8,9
1549762327,8,6
1549762806,9,6
1549763289,5,12
1549763764,9,6
1549764251,9,8
1549764726,7,9
1549765206,7,6
1549765927,6,9
1549766405,9,9
1549766889,9,6
1549767364,6,7
1549767846,11,14
1549768324,9,8
1549768804,8,10
1549769286,10,8
1549769764,7,10
1549770244,9,7
1549770726,7,8
1549771206,8,8
1549771688,7,9
1549772165,8,10
1549772646,10,6
1549773126,5,9
1549773605,10,8
1549774087,8,4
1549774564,8,8
1549775044,9,11
1549775525,11,9
1549776008,8,8
1549776485,7,6
1549776965,6,8
1549777445,8,5
1549777924,9,11
1549778413,8,7
1549778887,6,8
1549779364,10,12
1549779848,10,5
1549780324,5,11
1549780805,9,9
1549781284,7,1
1549781766,11,8
1549782245,5,5
1549782726,7,14
1549783205,12,5
1549783689,5,6
1549784167,6,6
1549784648,4,5
1549785124,7,6
1549785848,8,9
1549786326,6,8
1549786808,6,3
1549787286,4,1
1549787765,1,0
1549828565,0,1
1549829046,1,0
1549847286,0,6
1549847767,7,5
1549848244,5,7
1549848726,8,11
1549849205,12,5
1549849688,3,9
1549850165,7,4
1549850647,7,9
1549851128,7,9
1549851605,8,5
1549852330,6,6
1549852804,6,8
1549853286,7,5
1549853765,6,10
1549854247,12,9
1549854727,7,11
1549855211,8,4
1549855686,5,6
1549856165,6,9
1549856647,9,4
1549857126,3,7
1549857609,9,5
1549858087,8,10
1549858805,11,7
1549859287,6,6
1549859765,6,6
1549860248,6,8
1549860724,8,5
1549861211,5,8
1549861686,9,6
1549862166,5,7
1549862647,7,6
1549863130,6,6
1549863604,8,7
1549864085,9,9
1549864565,7,9
1549865047,7,3
1549865526,5,7
1549866004,6,6
1549866730,4,5
1549867205,6,9
1549867685,8,7
1549868165,8,9
1549868648,7,6
1549869370,8,9
1549869844,8,7
1549870327,9,6
1549870808,4,5
1549871287,4,7
1549872015,8,5
1549872489,8,7
1549872965,5,8
1549873444,6,1
1549873925,1,0
1549933445,0,13
1549933924,15,9
1549934404,7,9
1549934886,18,11
1549935365,9,6
1549935844,6,12
1549936324,11,7
1549936822,6,9
1549937287,10,9
1549937767,8,9
1549938245,8,10
1549938725,10,10
1549939204,8,11
1549939929,12,9
1549940414,6,7
1549941129,14,8
1549941605,5,9
1549942330,9,8
1549942805,5,11
1549943287,11,7
1549943765,6,6
1549944246,7,7
1549944725,5,6
1549945208,6,6
1549945687,6,7
1549946164,6,5
1549946646,6,10
1549947125,9,8
1549947617,8,7
1549948086,7,9
1549948565,9,10
1549949045,8,8
1549949526,8,7
1549950005,9,5
1549950730,9,11
1549951209,9,11
1549951685,7,9
1549952165,16,15
1549952646,13,8
1549953124,7,9
1549953608,9,9
1549954325,10,9
1549955048,12,10
1549955526,8,10
1549956011,8,6
1549956727,6,7
1549957205,7,7
1549957688,7,4
1549958165,8,9
1549958646,6,5
1549959127,8,7
1549959605,7,7
1549960085,4,0
1550016725,0,1
1550017212,1,0
1550020088,0,9
1550020568,11,7
1550021046,5,10
1550021528,12,10
1550022005,8,8
1550022486,10,11
1550022966,10,8
1550023446,9,10
1550023927,11,9
1550024405,8,7
1550024886,9,4
1550025365,4,7
1550025845,9,4
1550026324,3,9
1550026817,8,8
1550027286,7,4
1550027773,2,4
1550028246,8,11
1550028728,8,6
1550029204,7,7
1550029686,8,5
1550030165,4,8
1550030646,9,5
1550031126,4,8
1550031612,6,6
1550032088,4,8
1550032564,6,10
1550033044,11,8
1550033527,8,6
1550034008,7,9
1550034489,7,9
1550034965,10,7
1550035446,6,4
1550035928,4,5
1550036406,6,8
1550036884,9,11
1550037365,9,11
1550037844,9,7
1550038325,9,8
1550038805,9,11
1550039290,8,9
1550039765,9,6
1550040245,9,10
1550040724,8,9
1550041220,13,6
1550041686,10,9
1550042167,6,13
1550042644,13,6
1550043128,5,4
1550043605,5,4
1550044091,3,7
1550044566,8,9
1550045046,11,6
1550045525,4,9
1550046006,9,4
1550046488,4,2
1550046965,1,0
1550070247,0,1
1550070724,1,0
1550106486,0,7
1550106964,10,7
1550107445,5,5
1550107926,6,11
1550108404,10,10
1550108887,11,10
1550109365,9,11
1550109844,8,10
1550110325,11,8
1550110809,7,7
1550111285,7,6
1550111765,6,8
1550112245,5,9
1550112724,9,4
1550113216,6,6
1550113686,4,8
1550114167,8,8
1550114644,12,9
1550115124,5,7
1550115606,7,8
1550116085,7,9
1550116564,9,8
1550117045,9,11
1550117524,9,7
1550118009,5,8
1550118484,9,9
1550118964,9,6
1550119446,7,9
1550119925,12,13
1550120418,11,6
1550120889,7,6
1550121364,8,10
1550121849,8,4
1550122327,5,7
1550122806,6,4
1550123288,5,5
1550123766,6,11
1550124246,9,9
1550124724,11,8
1550125207,5,10
1550125685,10,5
1550126164,5,8
1550126645,10,9
1550127127,7,6
1550127623,6,10
1550128086,12,10
1550128569,8,6
1550129047,6,9
1550129525,10,5
1550130006,4,4
1550130486,5,7
1550130969,6,5
1550131448,8,10
1550131925,7,5
1550132408,3,4
1550132884,7,2
1550133364,1,0
1550192886,0,7
1550193368,8,6
1550193844,7,8
1550194327,7,8
1550194806,7,8
1550195288,8,5
1550195765,5,7
1550196247,8,13
1550196725,11,9
1550197205,9,8
1550197930,8,7
1550198406,6,9
1550198887,7,5
1550199364,7,6
1550199846,7,6
1550200325,4,10
1550200804,13,9
1550201286,6,9
1550201764,11,7
1550202249,7,9
1550202725,8,6
1550203216,6,11
1550203685,13,8
1550204167,8,9
1550204644,8,6
1550205127,9,8
1550205605,7,8
1550206090,8,5
1550206818,9,11
1550207526,8,8
1550208006,6,9
1550208485,9,8
1550208965,11,6
1550209444,4,7
1550209927,11,10
1550210409,7,7
1550210885,6,8
1550211364,11,12
1550211846,9,5
1550212327,10,9
1550212805,5,7
1550213284,8,7
1550214029,8,6
1550214730,8,10
1550215204,5,8
1550215690,10,9
1550216164,12,5
1550216647,3,6
1550217124,10,7
1550217611,7,9
1550218326,11,7
1550218810,4,3
1550219285,4,0
1550219765,0,1
1550220245,1,0
1550256730,0,1
1550257214,1,0
1550279045,1,5
1550279526,5,6
1550280004,6,4
1550280485,7,6
1550280964,7,9
1550281449,10,11
1550281925,9,9
1550282408,10,8
1550282885,5,6
1550283367,7,10
1550283846,8,6
1550284325,7,7
1550284808,8,7
1550285285,6,7
1550285765,7,6
1550286246,7,7
1550286726,10,13
1550287205,14,10
1550287929,8,8
1550288405,7,8
1550288885,8,9
1550289366,9,7
1550289846,6,8
1550290324,10,4
1550290803,4,7
1550291528,6,8
1550292006,9,3
1550292488,4,4
1550292965,3,5
1550293446,5,6
1550293925,7,8
1550294406,7,8
1550294885,8,9
1550295252,10,14
1550295608,13,9
1550296086,13,11
1550296564,9,8
1550297046,6,4
1550297527,6,12
1550298004,10,6
1550298727,5,12
1550299205,12,6
1550299688,5,8
1550300165,10,7
1550300646,5,5
1550301126,7,10
1550301604,6,5
1550302089,6,5
1550302565,4,6
1550303045,7,8
1550303524,8,11
1550304016,8,8
1550304486,7,5
1550304968,6,4
1550305447,4,2
1550305926,1,0
1550365685,2,9
1550366167,6,8
1550366645,9,4
1550367127,6,12
1550367605,13,7
1550368086,4,9
1550368566,9,7
1550369046,9,13
1550369525,9,4
1550370004,5,6
1550370486,7,10
1550370965,10,6
1550371444,9,8
1550371928,8,7
1550372415,9,10
1550372885,7,7
1550373368,8,11
1550373844,14,10
1550374325,8,7
1550374806,6,6
1550375285,5,7
1550375764,6,6
1550376248,8,8
1550376724,7,7
1550377211,8,7
1550377684,4,9
1550378165,8,8
1550378647,9,9
1550379125,6,7
1550379609,9,7
1550380088,5,5
1550380563,5,6
1550381048,6,9
1550381526,8,9
1550382004,11,5
1550382490,6,4
1550382965,6,6
1550383445,4,8
1550383926,12,6
1550384408,4,8
1550384886,8,9
1550385364,13,8
1550385848,8,14
1550386325,14,7
1550386825,8,9
1550387286,9,7
1550387768,7,8
1550388244,7,5
1550388725,4,10
1550389204,9,3
1550389685,2,10
1550390165,13,7
1550390644,4,8
1550391128,6,6
1550391611,4,3
1550392085,3,1
1550392565,1,1
1550393048,1,0
1550399286,0,1
1550399764,1,0
