DateTime,Entries,UniqueIPs
1549683365,4792,4792
1549683848,4800,4800
1549684325,4794,4794
1549684815,4799,4799
1549685285,4795,4795
1549685768,4799,4799
1549686246,4795,4795
1549686724,4797,4797
1549687207,4797,4797
1549687684,4794,4794
1549688168,4797,4797
1549688645,4793,4793
1549689126,4797,4797
1549689610,4795,4795
1549690084,4794,4794
1549690565,4794,4794
1549691045,4794,4794
1549691525,4797,4797
1549692010,4796,4796
1549692489,4791,4791
1549692964,4796,4796
1549693690,4796,4796
1549694168,4797,4797
1549694644,4794,4794
1549695129,4793,4793
1549695682,4794,4794
1549696087,4791,4791
1549696566,4792,4792
1549697046,4791,4791
1549697527,4791,4791
1549698009,4795,4795
1549698484,4791,4791
1549698965,4795,4795
1549699449,4796,4796
1549699926,4795,4795
1549700404,4796,4796
1549700885,4799,4799
1549701367,4798,4798
1549701846,4798,4798
1549702325,4799,4799
1549707605,4798,4798
1549708088,4799,4799
1549709046,4798,4798
1549709530,4799,4799
1549760890,4791,4791
1549761369,4792,4792
1549761845,4791,4791
1549762327,4793,4793
1549762806,4796,4796
1549763289,4789,4789
1549763764,4792,4792
1549764251,4793,4793
1549764726,4791,4791
1549765206,4792,4792
1549765927,4789,4789
1549766405,4789,4789
1549766889,4792,4792
1549767364,4791,4791
1549767846,4788,4788
1549768324,4789,4789
1549768804,4787,4787
1549769286,4789,4789
1549769764,4786,4786
1549770244,4788,4788
1549770726,4787,4787
1549771206,4787,4787
1549771688,4785,4785
1549772165,4783,4783
1549772646,4787,4787
1549773126,4783,4783
1549773605,4785,4785
1549774087,4789,4789
1549774564,4789,4789
1549775044,4787,4787
1549775525,4789,4789
1549776008,4789,4789
1549776485,4790,4790
1549776965,4788,4788
1549777445,4791,4791
1549777924,4789,4789
1549778413,4790,4790
1549778887,4788,4788
1549779364,4786,4786
1549779848,4791,4791
1549780324,4785,4785
1549780805,4785,4785
1549781284,4791,4791
1549781766,4794,4794
1549782245,4794,4794
1549782726,4787,4787
1549783205,4794,4794
1549783689,4793,4793
1549784167,4793,4793
1549784648,4792,4792
1549785124,4793,4793
1549785848,4792,4792
1549786326,4790,4790
1549786808,4793,4793
1549787286,4796,4796
1549787765,4797,4797
1549828565,4796,4796
1549829046,4797,4797
1549847286,4791,4791
1549847767,4793,4793
1549848244,4791,4791
1549848726,4788,4788
1549849205,4795,4795
1549849688,4789,4789
1549850165,4792,4792
1549850647,4790,4790
1549851128,4788,4788
1549851605,4791,4791
1549852330,4791,4791
1549852804,4789,4789
1549853286,4791,4791
1549853765,4787,4787
1549854247,4790,4790
1549854727,4786,4786
1549855211,4790,4790
1549855686,4789,4789
1549856165,4786,4786
1549856647,4791,4791
1549857126,4787,4787
1549857609,4791,4791
1549858087,4789,4789
1549858805,4793,4793
1549859287,4793,4793
1549859765,4793,4793
1549860248,4791,4791
1549860724,4794,4794
1549861211,4791,4791
1549861686,4794,4794
1549862166,4792,4792
1549862647,4793,4793
1549863130,4793,4793
1549863604,4794,4794
1549864085,4794,4794
1549864565,4792,4792
1549865047,4796,4796
1549865526,4794,4794
1549866004,4794,4794
1549866730,4793,4793
1549867205,4790,4790
1549867685,4791,4791
1549868165,4790,4790
1549868648,4791,4791
1549869370,4790,4790
1549869844,4791,4791
1549870327,4794,4794
1549870808,4793,4793
1549871287,4790,4790
1549872015,4793,4793
1549872489,4794,4794
1549872965,4791,4791
1549873444,4796,4796
1549873925,4797,4797
1549933445,4784,4784
1549933924,4790,4790
1549934404,4788,4788
1549934886,4795,4795
1549935365,4798,4798
1549935844,4792,4792
1549936324,4796,4796
1549936822,4793,4793
1549937287,4794,4794
1549937767,4793,4793
1549938245,4791,4791
1549938725,4791,4791
1549939204,4788,4788
1549939929,4791,4791
1549940414,4790,4790
1549941129,4796,4796
1549941605,4792,4792
1549942330,4793,4793
1549942805,4787,4787
1549943287,4791,4791
1549943765,4791,4791
1549944246,4791,4791
1549944725,4790,4790
1549945208,4790,4790
1549945687,4789,4789
1549946164,4790,4790
1549946646,4786,4786
1549947125,4787,4787
1549947617,4788,4788
1549948086,4786,4786
1549948565,4785,4785
1549949045,4785,4785
1549949526,4786,4786
1549950005,4790,4790
1549950730,4788,4788
1549951209,4786,4786
1549951685,4784,4784
1549952165,4785,4785
1549952646,4790,4790
1549953124,4788,4788
1549953608,4788,4788
1549954325,4789,4789
1549955048,4791,4791
1549955526,4789,4789
1549956011,4791,4791
1549956727,4790,4790
1549957205,4790,4790
1549957688,4793,4793
1549958165,4792,4792
1549958646,4793,4793
1549959127,4794,4794
1549959605,4794,4794
1549960085,4798,4798
1550016725,4797,4797
1550017212,4798,4798
1550020088,4789,4789
1550020568,4793,4793
1550021046,4788,4788
1550021528,4790,4790
1550022005,4790,4790
1550022486,4789,4789
1550022966,4791,4791
1550023446,4790,4790
1550023927,4792,4792
1550024405,4793,4793
1550024886,4798,4798
1550025365,4795,4795
1550025845,4800,4800
1550026324,4794,4794
1550026817,4794,4794
1550027286,4797,4797
1550027773,4795,4795
1550028246,4792,4792
1550028728,4794,4794
1550029204,4794,4794
1550029686,4797,4797
1550030165,4793,4793
1550030646,4797,4797
1550031126,4793,4793
1550031612,4793,4793
1550032088,4789,4789
1550032564,4785,4785
1550033044,4788,4788
1550033527,4790,4790
1550034008,4788,4788
1550034489,4786,4786
1550034965,4789,4789
1550035446,4791,4791
1550035928,4790,4790
1550036406,4788,4788
1550036884,4786,4786
1550037365,4784,4784
1550037844,4786,4786
1550038325,4787,4787
1550038805,4785,4785
1550039290,4784,4784
1550039765,4787,4787
1550040245,4786,4786
1550040724,4785,4785
1550041220,4792,4792
1550041686,4793,4793
1550042167,4786,4786
1550042644,4793,4793
1550043128,4794,4794
1550043605,4795,4795
1550044091,4791,4791
1550044566,4790,4790
1550045046,4795,4795
1550045525,4790,4790
1550046006,4795,4795
1550046488,4797,4797
1550046965,4798,4798
1550070247,4797,4797
1550070724,4798,4798
1550106486,4791,4791
1550106964,4794,4794
1550107445,4794,4794
1550107926,4789,4789
1550108404,4789,4789
1550108887,4790,4790
1550109365,4788,4788
1550109844,4786,4786
1550110325,4789,4789
1550110809,4789,4789
1550111285,4790,4790
1550111765,4788,4788
1550112245,4784,4784
1550112724,4789,4789
1550113216,4789,4789
1550113686,4785,4785
1550114167,4785,4785
1550114644,4788,4788
1550115124,4786,4786
1550115606,4785,4785
1550116085,4783,4783
1550116564,4784,4784
1550117045,4782,4782
1550117524,4784,4784
1550118009,4781,4781
1550118484,4781,4781
1550118964,4784,4784
1550119446,4782,4782
1550119925,4781,4781
1550120418,4786,4786
1550120889,4787,4787
1550121364,4785,4785
1550121849,4789,4789
1550122327,4787,4787
1550122806,4789,4789
1550123288,4789,4789
1550123766,4784,4784
1550124246,4784,4784
1550124724,4787,4787
1550125207,4782,4782
1550125685,4787,4787
1550126164,4784,4784
1550126645,4785,4785
1550127127,4786,4786
1550127623,4782,4782
1550128086,4784,4784
1550128569,4786,4786
1550129047,4783,4783
1550129525,4788,4788
1550130006,4788,4788
1550130486,4786,4786
1550130969,4787,4787
1550131448,4785,4785
1550131925,4787,4787
1550132408,4786,4786
1550132884,4791,4791
1550133364,4792,4792
1550192886,4785,4785
1550193368,4787,4787
1550193844,4786,4786
1550194327,4785,4785
1550194806,4784,4784
1550195288,4787,4787
1550195765,4785,4785
1550196247,4780,4780
1550196725,4782,4782
1550197205,4783,4783
1550197930,4784,4784
1550198406,4781,4781
1550198887,4783,4783
1550199364,4784,4784
1550199846,4785,4785
1550200325,4779,4779
1550200804,4783,4783
1550201286,4780,4780
1550201764,4784,4784
1550202249,4782,4782
1550202725,4784,4784
1550203216,4779,4779
1550203685,4784,4784
1550204167,4783,4783
1550204644,4785,4785
1550205127,4786,4786
1550205605,4785,4785
1550206090,4788,4788
1550206818,4786,4786
1550207526,4786,4786
1550208006,4783,4783
1550208485,4784,4784
1550208965,4789,4789
1550209444,4786,4786
1550209927,4787,4787
1550210409,4787,4787
1550210885,4785,4785
1550211364,4784,4784
1550211846,4788,4788
1550212327,4789,4789
1550212805,4787,4787
1550213284,4788,4788
1550214029,4790,4790
1550214730,4788,4788
1550215204,4785,4785
1550215690,4786,4786
1550216164,4793,4793
1550216647,4790,4790
1550217124,4793,4793
1550217611,4791,4791
1550218326,4795,4795
1550218810,4796,4796
1550219285,4800,4800
1550219765,4799,4799
1550220245,4800,4800
1550256730,4799,4799
1550257214,4800,4800
1550279045,4796,4796
1550279526,4795,4795
1550280004,4797,4797
1550280485,4798,4798
1550280964,4796,4796
1550281449,4795,4795
1550281925,4795,4795
1550282408,4797,4797
1550282885,4796,4796
1550283367,4793,4793
1550283846,4795,4795
1550284325,4795,4795
1550284808,4796,4796
1550285285,4795,4795
1550285765,4796,4796
1550286246,4796,4796
1550286726,4793,4793
1550287205,4797,4797
1550287929,4797,4797
1550288405,4796,4796
1550288885,4795,4795
1550289366,4797,4797
1550289846,4795,4795
1550290324,4801,4801
1550290803,4798,4798
1550291528,4796,4796
1550292006,4802,4802
1550292488,4802,4802
1550292965,4800,4800
1550293446,4799,4799
1550293925,4798,4798
1550294406,4797,4797
1550294885,4796,4796
1550295252,4792,4792
1550295608,4796,4796
1550296086,4798,4798
1550296564,4799,4799
1550297046,4801,4801
1550297527,4795,4795
1550298004,4799,4799
1550298727,4792,4792
1550299205,4798,4798
1550299688,4795,4795
1550300165,4798,4798
1550300646,4798,4798
1550301126,4795,4795
1550301604,4796,4796
1550302089,4797,4797
1550302565,4795,4795
1550303045,4794,4794
1550303524,4791,4791
1550304016,4791,4791
1550304486,4793,4793
1550304968,4795,4795
1550305447,4797,4797
1550305926,4798,4798
1550365685,4791,4791
1550366167,4789,4789
1550366645,4794,4794
1550367127,4788,4788
1550367605,4794,4794
1550368086,4789,4789
1550368566,4791,4791
1550369046,4787,4787
1550369525,4792,4792
1550370004,4791,4791
1550370486,4788,4788
1550370965,4792,4792
1550371444,4793,4793
1550371928,4794,4794
1550372415,4793,4793
1550372885,4793,4793
1550373368,4790,4790
1550373844,4794,4794
1550374325,4795,4795
1550374806,4795,4795
1550375285,4793,4793
1550375764,4793,4793
1550376248,4793,4793
1550376724,4793,4793
1550377211,4794,4794
1550377684,4789,4789
