DateTime,AddedIPs,RemovedIPs
1549966923,3,0
1549968123,13,1
1549968723,11,9
1549969323,5,9
1549969923,10,5
1549970523,6,0
1549971122,10,6
1549971723,1,8
1549972923,7,4
1549974122,9,6
1549975323,12,12
1549976524,9,5
1549977723,2,10
1549978323,10,0
1549978923,6,7
1549980123,8,13
1549981323,7,15
1549982523,7,3
1549983723,4,6
1549984923,4,16
1549986722,9,9
1549987323,7,4
1549987923,12,0
1549988524,5,13
1549989124,50,0
1549989723,7,9
1549990923,6,29
1549991523,7,8
1549992123,15,0
1549993323,8,17
1549994523,10,14
1549995723,8,0
1549996924,1,18
1549998123,10,0
1549999324,5,12
1550000523,12,18
1550001123,2,0
1550001723,7,0
1550002923,11,73
1550003523,6,0
1550004123,3,4
1550004722,9,13
1550005322,5,0
1550005923,8,5
1550006523,8,4
1550007123,8,13
1550007722,2,15
1550008923,9,17
1550010123,9,7
1550010723,6,13
1550011325,7,0
1550012523,7,6
1550013723,6,41
1550014323,9,0
1550014923,4,0
1550016125,10,19
1550016723,6,0
1550017322,7,7
1550017922,5,10
1550018523,15,3
1550019726,3,5
1550020324,4,19
1550020923,7,0
1550022123,9,11
1550023323,2,9
1550024522,4,21
1550025123,19,0
1550025723,5,15
1550026923,7,12
1550028123,17,9
1550029322,3,11
1550030524,13,11
1550031723,7,14
1550032922,4,19
1550034123,9,12
1550035324,7,22
1550036523,9,7
1550037723,8,9
1550038323,9,4
1550038923,4,0
1550040122,18,5
1550040722,12,10
1550041323,6,8
1550042522,1,91
1550043723,2,0
1550044923,4,23
1550046122,7,21
1550047322,3,17
1550047923,8,0
1550048523,6,0
1550049723,7,17
1550050323,8,0
1550051523,24,63
1550052122,8,0
1550053323,5,10
1550054523,9,7
1550055123,5,8
1550055725,9,4
1550056923,12,0
1550058123,7,16
1550058723,6,0
1550059323,11,7
1550060522,13,0
1550061724,4,19
1550062924,4,8
1550063523,12,6
1550064123,9,0
1550064723,6,10
1550065323,10,0
1550065923,8,15
1550066524,9,0
1550067123,5,8
1550067722,11,3
1550068922,16,6
1550070122,3,38
1550071323,7,10
1550071923,9,0
1550072523,8,5
1550073123,6,0
1550073724,9,9
1550074324,7,0
1550074925,4,7
1550076123,10,0
1550077323,9,7
1550078524,5,15
1550079123,8,0
1550079723,7,10
1550080323,2,0
1550080922,7,9
1550082123,7,12
1550083323,1,2
1550084523,5,28
1550085724,8,9
1550086923,0,2
1550087524,2,16
1550088123,4,0
1550088723,4,4
1550089324,9,9
1550089923,3,0
1550090523,3,10
1550091724,8,0
1550092923,7,21
1550094124,57,5
1550095323,6,14
1550096523,4,27
1550098323,3,17
1550098923,6,0
1550100124,5,9
1550101323,4,28
1550102524,13,0
1550103124,18,8
1550103723,23,7
1550104323,16,6
1550104924,18,6
1550106122,14,33
1550107323,11,8
1550108523,23,19
1550109723,36,26
1550110323,4,0
1550110922,43,7
1550111523,16,0
1550112123,14,15
1550113325,11,0
1550114523,7,11
1550115723,12,17
1550116323,14,10
1550116923,7,6
1550117522,15,0
1550118123,13,0
1550119323,10,17
1550119923,13,0
1550120523,18,12
1550121123,7,0
1550121723,17,4
1550122323,17,14
1550122923,13,0
1550124124,11,20
1550125323,17,0
1550126523,9,5
1550127123,13,4
1550127723,4,8
1550128323,17,0
1550128923,26,52
1550130123,10,0
1550130723,1,51
1550131323,53,12
1550132523,6,0
1550133123,5,7
1550133723,2,0
1550134923,5,11
1550135523,4,8
1550136123,4,0
1550136723,3,21
1550137322,24,0
1550138524,10,22
1550139723,2,0
1550140923,5,20
1550141523,6,11
1550142123,3,5
1550143323,3,0
1550143923,13,10
1550144524,6,21
1550145722,5,0
1550146323,7,4
1550146924,11,0
1550147522,11,9
1550148122,4,4
1550149323,7,2
1550149923,12,3
1550150523,4,0
1550151723,7,18
1550152922,17,16
1550154123,7,18
1550155323,13,12
1550156522,9,8
1550157724,3,0
1550158923,8,16
1550160123,8,13
1550161323,13,0
1550162522,10,11
1550163122,11,11
1550163724,7,10
1550164923,15,6
1550166122,8,6
1550166723,8,0
1550167323,7,0
1550167924,3,7
1550168523,11,0
1550169723,2,21
1550170322,4,0
1550170923,15,7
1550172123,9,32
1550172724,6,13
1550173323,7,12
1550174523,2,0
1550175123,9,8
1550175724,10,7
1550176923,5,5
1550178124,3,3
1550179323,13,0
1550180523,4,20
1550181123,9,0
1550181723,3,4
1550182923,4,7
1550184123,10,32
1550184723,5,0
1550185323,8,13
1550186522,11,0
1550187724,6,10
1550188322,2,6
1550188924,8,5
1550190122,3,5
1550191323,1,10
1550192523,10,23
1550193124,8,0
1550193723,4,0
1550194323,6,7
1550194922,7,0
1550196123,17,32
1550197324,6,3
1550197923,10,11
1550198523,6,6
1550199723,4,0
1550200323,3,20
1550200923,6,18
1550201523,4,0
1550202123,9,19
1550202724,9,0
1550203323,8,14
1550203923,11,0
1550204523,6,13
1550205123,15,7
1550205723,9,0
1550206923,5,12
1550208124,4,10
1550208723,4,4
1550209323,9,0
1550210523,4,10
1550211123,3,10
1550211723,6,5
1550212923,7,0
1550214124,8,13
1550215323,6,3
1550216523,3,77
1550217724,7,13
1550218323,1,10
1550218922,8,0
1550220123,7,23
1550220722,7,0
1550221324,6,0
1550222522,6,18
1550223123,6,0
1550223723,1,11
1550224323,5,0
1550224923,8,17
1550226124,10,7
1550226723,6,12
1550227322,2,24
1550228523,5,8
1550229723,8,11
1550230322,6,17
1550230923,6,8
1550232123,8,0
1550233323,3,26
1550233923,9,0
1550234522,9,0
1550235723,11,15
1550236322,10,0
1550236923,3,0
1550238123,6,16
1550239323,6,11
1550240523,10,7
1550241124,5,9
1550241722,14,0
1550242323,9,12
1550242922,10,0
1550244123,8,10
1550245322,7,22
1550246523,9,7
1550247123,5,6
1550247723,8,4
1550248923,9,0
1550250122,5,18
1550251323,2,16
1550251923,4,0
1550252522,7,0
1550253123,1,7
1550253723,3,0
1550254324,7,16
1550254923,4,12
1550255523,7,3
1550256123,2,0
1550257323,2,8
1550258523,8,13
1550259124,4,5
1550259723,6,0
1550260923,7,11
1550262123,4,6
1550263323,4,5
1550264523,11,48
1550265723,14,7
1550266924,13,9
1550267522,7,9
1550268123,15,13
1550269323,8,8
1550269923,9,0
1550270523,7,9
1550271723,4,5
1550272925,3,4
1550274123,5,10
1550275324,11,8
1550276523,8,57
1550277723,2,6
1550278924,15,4
1550279524,3,5
1550280123,9,5
1550280723,12,12
1550281323,5,5
1550281922,5,0
1550282525,6,0
1550283123,10,14
1550283723,16,2
1550284923,5,6
1550285523,3,0
1550286123,6,0
1550286723,9,3
1550287322,7,0
1550288522,5,20
1550289723,15,7
1550290922,5,3
1550291522,3,4
1550292123,7,4
1550293324,5,2
1550294523,6,3
1550295123,6,8
1550295722,5,0
1550296922,3,20
1550298123,11,12
1550298723,4,9
1550299323,5,6
1550300523,8,6
1550301724,12,10
1550302923,2,16
1550303523,5,9
1550304124,9,0
1550304723,3,14
1550305323,3,10
1550306522,6,0
1550307723,10,14
1550308923,12,9
1550310122,4,5
1550311323,6,0
1550311923,7,7
1550312523,8,8
1550313122,12,0
1550313723,13,0
1550314924,6,77
1550315523,16,0
1550316124,5,9
1550316722,9,8
1550317324,12,7
1550317922,6,0
1550318523,4,0
1550319723,3,26
1550320923,3,0
1550322123,18,11
1550322723,8,0
1550323323,7,0
1550324523,11,38
1550325723,13,15
1550326924,11,9
1550328122,6,8
1550329322,14,0
1550330523,17,18
1550331123,11,0
1550331723,6,0
1550332923,3,8
1550334124,11,8
1550335323,13,8
1550335922,12,13
1550336522,8,0
1550337722,11,27
1550338922,6,11
1550340124,10,10
1550341323,9,0
1550341923,6,5
1550342522,8,0
1550343123,14,6
1550343723,8,11
1550344923,5,7
1550346125,11,3
1550346722,5,6
1550347323,13,3
1550347923,7,0
1550348523,5,0
1550349722,16,13
1550350323,8,0
1550350923,1,0
1550352124,9,14
1550353323,9,0
1550353923,13,6
1550354523,7,75
1550355123,13,0
1550355723,10,0
1550356323,6,10
1550356922,4,0
1550358723,8,24
1550359322,3,3
1550360523,4,0
1550361724,3,14
1550362322,10,15
1550362923,9,0
1550364123,9,2
1550364723,10,8
1550365323,3,0
1550365923,7,3
1550366525,13,10
1550367123,5,0
1550367723,12,0
1550368923,4,7
1550370122,9,8
1550370723,6,0
1550371322,10,12
1550371923,0,3
1550372523,8,0
1550373723,6,8
1550374923,6,17
1550375522,5,10
1550376123,18,5
1550377324,10,0
1550377923,4,6
1550378522,16,4
1550379122,4,0
1550379723,8,2
1550380923,7,6
1550382123,6,6
1550383323,4,10
1550383922,58,0
1550384523,5,0
1550385724,4,6
1550386923,11,0
1550388123,6,5
1550388723,10,5
1550389323,5,8
1550389923,16,8
1550390524,3,0
1550391123,3,7
1550391723,6,0
1550392922,7,4
1550393523,2,15
1550394123,3,6
1550395323,3,11
1550395923,8,0
1550396523,7,0
1550397723,10,7
1550398324,8,0
1550398923,5,0
1550400123,7,2
1550401323,2,6
1550402522,7,9
