DateTime,AddedIPs,RemovedIPs
1549968123,80,80
1549968723,80,80
1549969323,80,80
1549969923,80,80
1549970523,80,80
1549971122,80,80
1549971723,80,80
1549972923,80,80
1549974122,80,80
1549975323,80,80
1549976524,80,80
1549977723,79,79
1549978323,80,80
1549978923,80,80
1549980123,80,80
1549981323,80,80
1549981923,78,78
1549982523,80,80
1549983723,80,80
1549984923,80,80
1549986722,80,80
1549987323,80,80
1549987923,80,80
1549988524,80,80
1549989124,80,80
1549989723,80,80
1549990923,80,80
1549991523,80,80
1549992123,80,80
1549993323,79,79
1549994523,80,80
1549995723,80,80
1549996924,80,80
1549998123,80,80
1549999324,80,80
1550000523,80,80
1550001123,80,80
1550001723,80,80
1550002923,80,80
1550003523,80,80
1550004123,80,80
1550004722,80,80
1550005322,80,80
1550005923,80,80
1550006523,80,80
1550007123,80,80
1550007722,80,80
1550008923,79,79
1550010123,80,80
1550010723,80,80
1550011325,80,80
1550012523,80,80
1550013723,80,80
1550014323,80,80
1550014923,80,80
1550016125,80,80
1550016723,80,80
1550017322,80,80
1550017922,80,80
1550018523,80,80
1550019726,80,80
1550020324,80,80
1550020923,80,80
1550022123,80,80
1550023323,80,80
1550024522,80,80
1550025123,80,80
1550025723,80,80
1550026923,80,80
1550028123,80,80
1550029322,80,80
1550030524,80,80
1550031723,80,80
1550032922,80,80
1550034123,80,80
1550035324,80,80
1550036523,80,80
1550037723,80,80
1550038323,80,80
1550038923,80,80
1550040122,80,80
1550040722,80,80
1550041323,80,80
1550042522,80,80
1550043723,80,80
1550044923,80,80
1550046122,80,80
1550047322,80,80
1550047923,80,80
1550048523,80,80
1550049723,80,80
1550050323,80,80
1550051523,80,80
1550052122,80,80
1550053323,76,76
1550054523,80,80
1550055123,80,80
1550055725,80,80
1550056923,80,80
1550058123,80,80
1550058723,80,80
1550059323,80,80
1550060522,79,79
1550061724,80,80
1550062924,80,80
1550063523,79,79
1550064123,80,80
1550064723,80,80
1550065323,80,80
1550065923,80,80
1550066524,80,80
1550067123,80,80
1550067722,80,80
1550068922,80,80
1550070122,80,80
1550071323,80,80
1550071923,80,80
1550072523,80,80
1550073123,80,80
1550073724,80,80
1550074324,80,80
1550074925,80,80
1550076123,79,79
1550077323,80,80
