DateTime,AddedIPs,RemovedIPs
1549944123,18,39
1549945322,41,21
1549946523,43,42
1549947122,31,69
1549947722,29,45
1549948923,30,0
1549950123,64,25
1549951323,51,11
1549951922,10,12
1549952523,14,1
1549953123,15,0
1549953723,5,16
1549954922,42,34
1549956123,55,39
1549957322,53,37
1549958523,26,7
1549959723,14,29
1549960923,7,1
1549961523,7,0
1549962123,5,0
1549963323,24,11
1549964523,7,42
1549965723,58,88
1549966322,58,0
1549966922,11,0
1549968123,13,39
1549969323,5,42
1549970522,6,24
1549971122,7,25
1549971723,2,3
1549972923,7,32
1549973522,1,0
1549974122,4,0
1549974723,7,10
1549975323,32,2
1549976524,40,10
1549977723,24,34
1549978923,32,0
1549980122,38,47
1549981323,49,86
1549981923,29,0
1549982523,21,21
1549983723,15,27
1549984923,12,12
1549986722,30,55
1549987323,34,32
1549987923,36,35
1549988523,68,32
1549989124,24,0
1549989723,17,0
1549990922,59,84
1549991523,31,0
1549992123,15,0
1549993322,56,51
1549994522,39,71
1549995723,47,13
1549996924,49,15
1549997522,15,5
1549998123,6,0
1549999323,15,13
1550000522,7,28
1550001123,13,0
1550001722,20,22
1550002923,47,70
1550004123,56,24
1550005322,27,0
1550005923,13,18
1550006523,10,0
1550007722,8,29
1550008923,38,0
1550009522,9,19
1550010123,9,47
1550011324,43,67
1550012522,59,0
1550013723,35,33
1550014923,2,0
1550016125,14,25
1550016723,2,0
1550017322,3,0
1550018523,1,50
1550019726,43,0
1550020323,36,43
1550020923,51,47
1550021523,17,0
1550022123,13,0
1550023323,47,80
1550024522,42,0
1550025723,4,6
1550026923,41,48
1550028122,21,87
1550029322,1,24
1550030524,39,0
1550031723,62,28
1550032323,19,36
1550032922,22,0
1550034123,24,66
1550035323,54,86
1550036523,31,63
1550037723,9,14
1550038922,2,22
1550039523,2,21
1550040122,3,0
1550041322,20,32
1550042522,18,112
1550043723,24,0
1550044923,12,33
1550045523,3,17
1550046122,3,16
1550046722,1,0
1550048523,7,36
1550049723,0,8
1550051523,46,56
1550052122,3,0
1550052723,3,44
1550053323,22,43
1550054523,17,0
1550055725,23,17
1550056323,11,0
1550056923,10,9
1550058123,29,3
1550058722,12,6
1550059322,2,5
1550060522,0,5
1550061122,0,19
1550061723,0,45
1550062924,34,39
1550064123,6,20
1550065322,53,48
1550066524,19,23
1550067123,42,47
1550067722,27,37
1550068323,24,0
1550068922,1,16
1550070122,12,17
1550070723,3,11
1550071323,5,40
1550072523,9,0
1550073724,51,25
1550074324,17,33
1550074924,3,67
1550076123,1,54
1550077323,43,56
1550078523,19,119
1550079123,19,0
1550079723,35,44
1550080323,5,0
1550080922,7,0
1550082123,17,120
1550082722,6,0
1550083322,7,19
1550084522,7,21
1550085723,4,0
1550086923,10,11
1550088122,38,35
1550088723,9,59
1550089323,77,0
1550090523,52,104
1550091724,8,18
1550092323,4,18
1550092923,1,0
1550093522,1,11
1550094723,0,54
1550095323,1,0
1550096523,3,85
1550098323,72,60
1550098922,21,50
1550100124,31,0
1550101323,20,20
1550102524,7,0
1550103123,2,3
1550103723,3,4
1550104923,55,0
1550105522,37,38
1550106122,43,31
1550107323,45,59
1550108523,26,41
1550109723,48,29
1550110922,11,69
1550112123,3,19
1550113324,63,35
1550114523,56,17
1550115123,17,22
1550115723,1,35
1550116323,1,0
1550116922,1,0
1550118123,37,60
1550118722,10,0
1550119323,2,50
1550120523,52,70
1550121123,56,0
1550121723,26,47
1550122923,20,0
1550124124,6,26
1550125323,3,0
1550126523,2,5
1550127123,1,20
1550127722,5,13
1550128323,16,0
1550128923,0,19
1550130123,65,4
1550130722,28,0
1550131323,5,0
1550132523,1,16
1550133123,7,16
1550133722,3,0
1550134322,2,12
1550134922,2,2
1550135523,4,0
1550136123,1,0
1550137322,6,32
1550138524,43,16
1550139723,57,19
1550140322,21,31
1550140923,4,29
1550141523,9,0
1550142123,10,16
1550143322,19,36
1550144524,5,1
1550145722,2,15
1550146924,0,7
1550147522,1,5
1550148122,0,47
1550149323,5,1
1550150523,3,0
1550151123,0,57
1550151723,46,28
1550152922,12,0
1550153522,32,34
1550154123,6,24
1550155323,25,60
1550156522,28,0
1550157724,32,7
1550158923,15,14
1550160123,71,10
1550161323,10,33
1550161923,1,17
1550162522,2,46
1550163723,59,16
1550164923,40,0
1550166122,53,75
1550167322,26,14
1550168523,37,18
1550169722,15,12
1550170923,3,16
1550171523,2,0
1550172122,2,0
1550173322,0,40
1550174523,37,0
1550175723,58,33
1550176324,26,72
1550176922,25,0
1550177523,10,14
1550178124,2,8
1550179323,22,3
1550180523,4,11
1550181723,1,15
1550182923,2,0
1550184123,59,42
1550184723,16,0
1550185323,16,42
1550186522,29,0
1550187724,18,3
1550188322,3,29
1550188924,6,3
1550190122,4,38
1550191323,29,0
1550191923,44,37
1550192523,20,92
1550193124,1,0
1550193723,5,0
1550194322,34,45
1550194922,17,0
1550195522,43,12
1550196122,12,53
1550197324,14,0
1550197923,6,6
1550198523,5,0
1550199723,15,84
1550200323,13,0
1550200923,7,0
1550202123,20,41
1550202723,1,12
1550203323,2,31
1550204522,32,0
1550205723,60,34
1550206323,38,16
1550206923,5,0
1550208123,36,72
1550209323,16,47
1550210523,1,0
1550211723,0,4
1550212923,8,0
1550213522,12,0
1550214123,11,2
1550215323,64,35
1550216522,34,50
1550217723,12,13
1550218922,4,8
1550220123,3,18
1550221324,1,10
1550222522,2,10
1550223723,36,37
1550224923,41,0
1550226124,69,36
1550226723,18,30
1550227322,10,0
1550228523,7,48
1550229723,7,30
1550230322,1,7
1550230923,12,5
1550232123,4,0
1550233322,16,2
1550233923,4,0
1550234522,4,0
1550235723,29,15
1550236923,31,0
1550238123,34,31
1550239323,18,49
1550240522,41,38
1550241124,20,0
1550241722,22,0
1550242922,16,56
1550244123,16,0
1550245322,24,53
1550245923,46,0
1550246522,25,0
1550247123,3,38
1550247723,7,2
1550248923,15,1
1550249523,6,0
1550250122,80,49
1550250723,39,61
1550251322,8,36
1550252522,1,0
1550253723,69,37
1550254923,16,46
1550255523,6,0
1550256123,8,7
1550257323,1,0
1550258522,7,6
1550259723,13,0
1550260922,17,65
1550261523,4,0
1550262123,24,0
1550263323,11,79
1550263924,1,2
1550264522,8,23
1550265723,3,6
1550266923,1,0
1550267522,0,1
1550268723,0,1
1550269323,21,48
1550269923,32,0
1550270523,5,0
1550271723,53,32
1550272322,6,27
1550272924,8,31
1550274123,37,4
1550275324,20,5
1550275922,1,0
1550276523,28,0
1550277124,40,22
1550277723,37,12
1550278924,26,21
1550280122,43,25
1550280723,4,41
1550281323,14,12
1550281922,6,41
1550282525,24,0
1550283123,20,19
1550283723,30,10
1550284923,48,4
1550286123,2,19
1550287322,23,21
1550288522,14,21
1550289723,5,21
1550290922,7,42
1550291522,4,0
1550292123,1,37
1550293324,54,67
1550294523,22,0
1550295123,1,20
1550296322,1,0
1550296922,3,6
1550298123,2,0
1550299323,10,27
1550300523,4,49
1550301724,53,0
1550302923,38,43
1550303523,9,11
1550304124,5,0
1550304723,9,5
1550305323,53,5
1550306522,2,0
1550307722,1,16
1550308923,28,0
1550310122,14,31
1550311323,6,40
1550312523,26,40
1550313723,1,18
1550314323,24,12
1550314924,11,40
1550315523,3,0
1550316123,46,3
1550317324,17,12
1550317922,4,3
1550319722,0,36
1550320923,1,36
1550322122,7,0
1550322723,3,21
1550323322,1,0
1550324522,3,72
1550325122,17,0
1550325723,2,49
1550326923,31,0
1550328122,15,69
1550329322,14,0
1550330522,40,32
1550331123,26,0
1550331723,24,0
1550332923,48,53
1550334124,40,16
1550334724,20,24
1550335323,8,0
1550335922,17,12
1550336522,23,50
1550337722,43,71
1550338922,9,19
1550340124,48,74
1550341323,40,0
1550341923,4,6
1550342522,1,8
1550343723,5,7
1550344324,2,0
1550344923,9,0
1550345523,2,18
1550346124,1,0
1550346722,8,22
1550347323,13,0
1550348523,37,20
1550349722,39,13
1550350323,3,14
1550350923,5,0
1550352123,11,4
1550352723,5,1
1550353322,3,0
1550354523,1,0
1550355123,0,1
1550355723,19,23
1550356323,32,26
1550356922,8,0
1550358123,46,58
1550358723,12,0
1550359322,32,16
1550360523,72,0
1550361723,33,30
1550362923,23,20
1550364123,15,96
1550365323,46,0
1550366524,13,55
1550367723,34,12
1550368923,46,12
1550369523,51,0
1550370122,57,46
1550371322,11,66
1550372522,17,0
1550373723,2,10
1550374923,18,0
1550375522,4,0
1550376122,0,30
1550376723,1,0
1550377324,0,4
1550377923,20,3
1550378522,0,25
1550379723,11,33
1550380923,72,3
1550381523,7,0
1550382123,7,0
1550383323,1,4
1550383922,1,2
1550385122,1,18
1550385723,2,6
1550386923,9,0
1550388123,64,76
1550388723,8,0
1550389323,1,0
1550389922,23,19
1550390524,15,11
1550391723,19,20
1550392922,10,48
1550394123,10,0
1550395323,23,30
1550395922,32,0
1550396523,2,0
1550397723,11,28
1550398923,15,0
1550399522,2,4
1550400123,14,12
1550401322,28,0
1550402522,9,42
