DateTime,AddedIPs,RemovedIPs
1548602102,181,0
1548605702,202,0
1548609302,204,0
1548612901,195,1
1548616502,187,0
1548620102,163,0
1548623702,172,0
1548627302,196,0
1548630902,153,0
1548634502,166,5748
1548638101,271,0
1548641702,232,0
1548645302,209,0
1548648902,184,0
1548652502,171,0
1548656102,201,0
1548659701,237,0
1548663302,290,0
1548666902,303,0
1548670502,294,0
1548674102,271,0
1548677701,252,0
1548681301,270,0
1548684902,272,0
1548688502,242,0
1548692102,455,0
1548695701,310,0
1548699302,364,0
1548702902,199,0
1548706502,250,0
1548710102,230,0
1548713702,211,0
1548717301,196,0
1548720902,198,5621
1548724502,224,0
1548728102,174,0
1548731702,143,0
1548735302,200,0
1548738902,200,0
1548742501,230,0
1548746101,207,0
1548749702,339,0
1548753302,477,0
1548756902,575,0
1548760502,485,0
1548764102,660,0
1548767702,254,0
1548771302,252,0
1548774902,199,0
1548778501,172,0
1548782102,201,0
1548785702,172,0
1548789302,178,0
1548792902,143,0
1548796502,270,0
1548800101,236,0
1548803702,178,0
1548807302,173,6068
1548810902,210,0
1548814501,218,0
1548818102,163,0
1548821701,125,0
1548825301,107,0
1548828902,117,0
1548832501,329,0
1548836102,215,0
1548839701,208,0
1548843301,172,0
1548846901,185,0
1548850502,173,0
1548854102,150,0
1548857702,193,0
1548861302,152,0
1548864902,172,0
1548868502,161,0
1548872102,186,0
1548875702,167,0
1548879302,149,0
1548882902,128,0
1548886502,213,0
1548890101,121,0
1548893702,112,6583
1548897302,135,0
1548900901,141,0
1548904502,167,0
1548908102,154,0
1548911702,182,0
1548915302,242,0
1548918902,196,0
1548922502,181,0
1548926102,272,0
1548929702,284,0
1548933302,189,0
1548936902,208,0
1548940502,193,0
1548944102,154,0
1548947702,161,0
1548951302,167,0
1548954902,179,0
1548958502,195,0
1548962102,191,0
1548965702,155,0
1548969302,174,0
1548972902,164,0
1548976502,151,0
1548980102,185,4508
1548983702,210,0
1548987302,200,0
1548990902,163,0
1548994502,148,0
