DateTime,Entries,UniqueIPs
1547724017,1582,1582
1547724924,1579,1579
1547731221,1580,1580
1547739325,1579,1579
1547741131,1580,1580
1547742028,1585,1585
1547746525,1584,1584
1547749230,1585,1585
1547753730,1585,1585
1547756430,1584,1584
1547760022,1582,1582
1547767219,1584,1584
1547774423,1580,1580
1547781635,1574,1574
1547788827,1575,1575
1547791529,1574,1574
1547796029,1568,1568
1547803224,1562,1562
1547807872,1552,1552
1547808816,1551,1551
1547809683,1566,1566
1547810554,1569,1569
1547817631,1568,1568
1547825738,1570,1570
1547832031,1565,1565
1547839228,1559,1559
1547846434,1557,1557
1547854540,1558,1558
1547860832,1563,1563
1547868029,1559,1559
1547875227,1557,1557
1547882429,1558,1558
1547890551,1559,1559
1547894140,1567,1567
1547895942,1560,1560
1547896842,1565,1565
1547904036,1563,1563
1547913032,1563,1563
1547918431,1565,1565
1547925637,1568,1568
1547932836,1569,1569
1547940036,1567,1567
1547947229,1569,1569
1547954433,1566,1566
1547961639,1565,1565
1547963430,1564,1564
1547968835,1566,1566
1547970632,1565,1565
1547976033,1562,1562
1547981610,1551,1551
1547985034,1557,1557
1547990436,1558,1558
1547996744,1557,1557
1547997632,1561,1561
1548004831,1559,1559
1548012047,1565,1565
1548019230,1566,1566
1548026432,1566,1566
1548033625,1565,1565
1548040833,1564,1564
1548048035,1567,1567
1548055249,1565,1565
1548062451,1563,1563
1548066944,1571,1571
1548068725,1570,1570
1548069634,1575,1575
1548076826,1572,1572
1548084030,1576,1576
1548092136,1575,1575
1548098428,1575,1575
1548105634,1572,1572
1548113742,1573,1573
1548120030,1573,1573
1548127229,1568,1568
1548129036,1569,1569
1548134430,1570,1570
1548141623,1570,1570
1548148842,1570,1570
1548154350,1566,1566
1548155302,1572,1572
1548156145,1573,1573
1548163237,1572,1572
1548166832,1571,1571
1548170443,1570,1570
1548177626,1573,1573
1548184824,1578,1578
1548192025,1576,1576
1548199230,1575,1575
1548208229,1574,1574
1548213632,1571,1571
1548220830,1567,1567
1548228034,1571,1571
1548235240,1572,1572
1548239733,1574,1574
1548241529,1568,1568
1548242436,1566,1566
1548247831,1565,1565
1548249641,1562,1562
1548253242,1561,1561
1548255041,1562,1562
1548256832,1561,1561
1548264932,1566,1566
1548271229,1568,1568
1548278437,1568,1568
1548285628,1570,1570
1548292833,1569,1569
1548300040,1572,1572
1548307235,1570,1570
1548308139,1571,1571
1548314427,1572,1572
1548321636,1576,1576
1548328084,1483,1483
1548328947,1485,1485
1548336035,1488,1488
1548343237,1485,1485
1548350431,1489,1489
1548353131,1490,1490
1548357635,1490,1490
1548364839,1490,1490
1548372047,1487,1487
1548378345,1486,1486
1548379241,1484,1484
1548386439,1485,1485
1548393631,1483,1483
1548400842,1484,1484
1548408029,1483,1483
1548412532,1495,1495
1548413432,1494,1494
1548414329,1482,1482
1548415233,1480,1480
1548422436,1480,1480
1548426937,1479,1479
1548429628,1477,1477
1548436835,1476,1476
1548444033,1474,1474
1548451232,1475,1475
1548453031,1474,1474
1548453931,1473,1473
1548458437,1478,1478
1548465627,1478,1478
1548472835,1479,1479
1548480034,1480,1480
1548487233,1487,1487
1548494433,1491,1491
1548500915,1485,1485
1548501774,1484,1484
1548508842,1481,1481
1548513336,1482,1482
1548516935,1487,1487
1548523239,1488,1488
1548530436,1487,1487
1548531329,1488,1488
1548537636,1490,1490
1548544834,1490,1490
1548545744,1491,1491
1548552038,1490,1490
1548559240,1492,1492
1548566426,1490,1490
1548573630,1488,1488
1548580841,1485,1485
1548585329,1495,1495
1548587134,1492,1492
1548588026,1490,1490
1548589840,1491,1491
1548595230,1493,1493
1548602439,1492,1492
1548609630,1497,1497
1548616828,1495,1495
1548624025,1496,1496
1548630328,1495,1495
1548632130,1497,1497
1548638439,1495,1495
1548645627,1492,1492
1548652832,1485,1485
1548660026,1487,1487
1548667231,1484,1484
1548673706,1480,1480
1548674547,1475,1475
1548681630,1475,1475
1548689729,1474,1474
1548696038,1475,1475
1548703231,1476,1476
1548710431,1475,1475
1548717631,1475,1475
1548724826,1474,1474
1548732027,1472,1472
1548739232,1476,1476
1548746432,1483,1483
1548753638,1480,1480
1548755438,1481,1481
1548758142,1488,1488
1548763525,1479,1479
1548768032,1480,1480
1548775233,1481,1481
1548782436,1482,1482
1548788733,1481,1481
1548789630,1481,1481
1548796823,1484,1484
1548804040,1485,1485
1548809429,1486,1486
1548811240,1488,1488
1548818439,1486,1486
1548825629,1486,1486
1548832837,1489,1489
1548840041,1487,1487
1548845549,1484,1484
1548846478,1488,1488
1548847343,1491,1491
1548854426,1489,1489
1548861623,1483,1483
1548868830,1478,1478
1548874229,1479,1479
1548876027,1479,1479
1548883226,1480,1480
1548890424,1483,1483
1548896726,1482,1482
1548898531,1480,1480
1548904827,1479,1479
1548912017,1483,1483
1548919224,1487,1487
1548926427,1487,1487
1548932731,1487,1487
1548933628,1489,1489
1548939035,1488,1488
1548939931,1487,1487
1548940832,1485,1485
1548948026,1486,1486
1548955235,1486,1486
1548961529,1487,1487
1548962434,1487,1487
1548969643,1490,1490
1548976837,1489,1489
1548984029,1490,1490
1548991230,1502,1502
1548998442,1501,1501
1549005629,1503,1503
1549012838,1504,1504
1549019257,1499,1499
1549020155,1503,1503
1549027245,1506,1506
1549034426,1513,1513
1549037136,1514,1514
1549041626,1515,1515
1549043434,1517,1517
1549048828,1520,1520
1549056028,1521,1521
1549063237,1517,1517
1549067726,1516,1516
1549070437,1519,1519
1549077632,1520,1520
1549084819,1518,1518
1549092021,1522,1522
1549099232,1516,1516
1549103724,1523,1523
1549105513,1520,1520
1549106420,1522,1522
1549113617,1522,1522
1549120813,1522,1522
1549128017,1523,1523
1549133422,1522,1522
1549135214,1521,1521
1549142418,1521,1521
1549149618,1523,1523
1549150516,1522,1522
1549156826,1519,1519
1549164027,1518,1518
1549171222,1518,1518
1549175714,1517,1517
1549178418,1523,1523
1549185628,1527,1527
1549190317,1522,1522
1549191156,1530,1530
1549192867,1527,1527
1549200013,1532,1532
1549203615,1531,1531
1549207222,1530,1530
1549209924,1531,1531
1549215327,1530,1530
1549218914,1529,1529
1549221613,1531,1531
1549224314,1530,1530
1549228820,1532,1532
1549236022,1531,1531
1549243215,1541,1541
1549250409,1543,1543
1549257614,1538,1538
1549264811,1544,1544
1549272024,1545,1545
1549276512,1555,1555
1549278313,1552,1552
1549279203,1554,1554
1549286417,1549,1549
1549289105,1550,1550
1549294512,1547,1547
1549301713,1551,1551
1549308910,1548,1548
1549315213,1565,1565
1549322410,1563,1563
1549329599,1565,1565
1549336811,1560,1560
1549343999,1559,1559
1549351209,1564,1564
1549358403,1564,1564
1549360200,1563,1563
1549363943,1558,1558
1549364857,1564,1564
1549365728,1562,1562
1549372813,1565,1565
1549380028,1566,1566
1549387217,1565,1565
1549394420,1566,1566
1549397117,1565,1565
1549401618,1567,1567
1549408821,1568,1568
1549416016,1565,1565
1549423216,1561,1561
1549430413,1561,1561
1549438511,1558,1558
1549444811,1559,1559
1549449309,1563,1563
1549451119,1557,1557
1549452017,1563,1563
1549459219,1560,1560
1549466432,1557,1557
1549473616,1558,1558
1549478126,1557,1557
1549480829,1558,1558
1549488024,1559,1559
1549492521,1558,1558
1549495217,1556,1556
1549502412,1556,1556
1549509610,1554,1554
1549516817,1550,1550
