DateTime,AddedIPs,RemovedIPs
1548288200,0,1
1548295401,1,0
1548298940,3,0
1548306140,3,2
1548309799,2,2
1548313338,2,4
1548316940,2,0
1548317694,3,1
1548320575,1,0
1548324176,1,2
1548331376,2,0
1548335035,3,0
1548338576,1,1
1548342176,2,1
1548345775,2,3
1548346735,3,0
1548352975,1,1
1548356636,0,1
1548360175,1,0
1548363775,0,1
1548367375,0,1
1548370977,0,2
1548374577,1,0
1548378176,1,0
1548381777,0,1
1548385375,2,0
1548388975,1,3
1548392576,3,0
1548396175,0,4
1548399775,4,0
1548403377,1,2
1548414176,2,3
1548417777,3,2
1548421375,1,0
1548424976,1,2
1548432176,1,0
1548435777,2,1
1548439378,1,0
1548442978,2,0
1548450176,3,1
1548453777,6,1
1548457378,1,0
1548460981,4,1
1548464577,1,0
1548468176,1,2
1548471778,3,1
1548475377,1,1
1548478976,2,0
1548482577,5,3
1548486185,3,0
1548489776,2,5
1548493441,2,1
1548496977,0,2
1548500636,1,1
1548504176,1,0
1548511378,1,3
1548514981,2,0
1548518577,2,1
1548522178,2,0
1548525784,2,2
1548529380,0,1
1548532978,3,0
1548536577,0,3
1548540183,1,0
1548547383,2,3
1548550978,1,0
1548554577,0,2
1548558178,2,0
1548561778,1,1
1548565380,2,4
1548568978,0,2
1548572577,2,0
1548576177,1,2
1548583377,3,2
1548590577,2,0
1548594183,2,1
1548597781,2,0
1548601382,1,2
1548608577,4,2
1548615777,0,3
1548619378,1,0
1548622983,2,0
1548626579,0,4
1548633784,1,1
1548637384,1,0
1548644579,1,0
1548648179,0,1
1548651779,2,5
1548655379,0,5
1548658978,4,0
1548666180,2,0
1548669778,0,2
1548673379,0,1
1548676979,0,3
1548680579,2,2
1548684179,0,1
1548691378,0,2
1548694980,4,1
1548698578,0,2
1548709380,2,0
1548712980,2,1
1548716579,1,0
1548727379,2,0
1548734580,3,3
1548738183,2,1
1548741779,1,0
1548745383,5,5
1548748981,1,3
1548756181,3,1
1548763380,1,0
1548770580,0,2
1548774181,2,0
1548777779,1,3
1548781379,1,0
1548784982,1,0
1548788580,2,4
1548795781,2,1
1548799380,1,0
1548806581,1,0
1548810180,1,2
1548813782,1,0
1548817384,2,2
1548820981,1,0
1548824582,1,3
1548828184,2,4
1548831784,4,1
1548839232,0,4
1548842587,4,3
1548846127,1,0
1548853392,0,4
1548856988,2,2
1548860592,0,2
1548864192,0,2
1548867793,3,1
1548871333,2,0
1548875049,0,6
1548878587,2,0
1548882127,0,3
1548885792,3,1
1548892989,1,1
1548896589,2,3
1548903849,0,3
1548907389,3,3
1548910988,3,0
1548914589,1,0
1548918191,5,3
1548921789,1,0
1548928990,1,0
1548932588,0,2
1548939791,0,3
1548943389,2,0
1548946989,1,0
1548954193,2,1
1548961392,2,2
1548964928,1,1
1548968589,3,0
1548972188,0,2
1548975789,1,0
1548979388,1,0
1548982989,2,1
1548986594,12,2
1548990189,2,0
1548993789,1,0
1548997395,0,1
1549000990,3,0
1549004594,3,4
1549008189,1,2
1549011790,1,1
1549015390,0,5
1549018993,4,4
1549022594,1,0
1549026192,4,1
1549029789,5,1
1549033389,5,1
1549036989,0,5
1549040589,3,0
1549044192,1,0
1549047792,3,1
1549051393,1,0
1549054993,3,0
1549058591,0,1
1549062135,0,4
1549065731,2,0
1549069330,2,2
1549072991,1,2
1549076650,2,1
1549080190,1,0
1549083790,2,3
1549087391,1,2
1549090931,1,1
1549094590,2,0
1549098192,1,3
1549105390,0,2
1549108931,1,2
1549112532,3,0
1549116190,1,3
1549119791,2,2
1549123391,1,0
1549130591,2,2
1549134190,3,0
1549137731,2,0
1549141391,1,1
1549148531,1,1
1549152192,0,3
1549162992,4,2
1549166592,2,2
1549170195,1,0
1549173792,3,0
1549177391,3,3
1549180991,4,0
1549184591,1,2
1549188193,0,2
1549191738,2,0
1549195393,1,1
1549198992,2,4
1549202532,0,1
1549206132,1,0
1549209792,0,2
1549213392,4,0
1549216992,4,1
1549224192,1,2
1549227792,2,0
1549231392,1,0
1549238592,11,0
1549242193,2,1
1549245792,1,0
1549249392,2,1
1549252993,0,1
1549256592,3,3
1549260193,1,0
1549263793,4,4
1549267332,1,2
1549274593,4,1
1549278193,2,1
1549285392,1,1
1549288992,0,3
1549292533,1,0
1549296133,2,6
1549299793,4,0
1549303394,1,2
1549306993,1,0
1549314193,26,2
1549317793,0,1
1549321333,1,0
1549324993,2,1
1549332192,0,1
1549335733,1,2
1549339334,2,0
1549342994,3,3
1549350193,4,3
1549353733,1,1
1549357393,2,1
1549360993,2,1
1549364593,1,0
1549365133,1,3
1549371798,0,1
1549375333,2,1
1549378993,1,1
1549382534,3,0
1549386195,2,2
1549389795,2,0
1549393394,3,0
1549400546,1,3
1549404193,2,0
1549411394,0,2
1549422194,0,1
1549425794,3,0
1549429395,1,5
1549436534,2,5
1549440194,1,0
1549443794,3,0
1549447394,3,1
1549450995,1,0
1549465395,1,1
1549468996,2,2
1549472594,2,2
1549476195,3,2
1549479795,0,1
1549483334,0,1
1549486995,0,1
1549490594,1,2
1549497794,1,3
1549501395,1,0
1549508594,1,1
1549512195,1,3
1549515795,1,0
1549519396,2,6
1549522935,3,0
1549526535,1,0
1549530196,1,0
1549533735,0,4
1549537396,1,2
1549540936,1,0
1549548196,0,1
1549551796,2,2
1549555335,2,0
1549558996,1,4
1549562595,2,0
1549566197,1,0
1549569796,4,2
1549573335,1,5
1549576995,1,0
1549580535,0,1
1549584195,1,1
1549587795,2,0
1549591395,2,1
1549594935,1,1
1549598536,1,3
1549602136,3,0
1549605736,1,1
1549609396,2,5
1549617376,1,0
1549623797,1,0
1549627397,1,1
1549630996,1,4
1549634597,4,0
1549638196,0,1
1549641797,1,0
1549645338,0,2
1549648997,2,4
1549652537,1,0
1549656136,0,2
1549659739,0,1
1549666938,1,1
1549670596,2,0
1549674137,1,1
1549677797,2,1
1549681396,0,2
1549684997,1,1
1549692197,2,1
1549695798,1,1
1549699398,1,0
1549706598,1,1
1549710138,2,1
1549717398,1,4
1549720998,2,0
1549724537,2,3
1549728139,1,4
1549735397,1,2
1549738937,0,2
1549746137,1,3
1549748837,2,1
1549753397,1,2
1549756997,2,0
1549760600,3,1
1549767738,1,0
1549771399,3,3
1549774938,2,1
1549778598,4,5
1549782199,2,2
1549789398,2,1
1549796599,0,5
1549800198,3,0
1549803798,0,1
1549807399,1,0
1549810938,1,1
1549814538,2,1
1549818199,5,5
1549825398,1,1
1549828999,2,0
1549832540,0,2
1549836139,2,0
1549839739,2,0
1549843338,0,1
1549850598,1,3
1549854200,1,0
1549857799,2,3
1549861340,1,0
1549864999,1,1
1549868599,4,4
1549872140,1,2
1549875739,0,2
1549879399,2,0
1549883000,3,0
1549886599,1,0
1549890200,2,0
1549893800,2,2
1549897400,2,1
1549900999,1,2
1549908260,2,5
1549911800,4,0
1549915400,2,2
1549919000,2,0
1549922600,2,0
1549926200,0,1
1549929739,0,2
1549933399,1,0
1549936939,1,2
1549940600,1,2
1549944200,4,0
1549947800,2,2
1549951400,1,6
1549955000,2,0
1549958540,0,4
1549962140,0,5
1549965800,1,0
1549969401,1,1
1549972940,1,1
1549980200,1,1
1549983800,1,0
1549987400,3,5
1549991000,1,3
1549994600,1,0
1549998200,3,1
1550001741,2,2
1550002100,1,0
1550005400,0,1
1550009000,0,1
1550012540,2,0
1550016201,0,2
1550019740,1,0
1550027002,2,0
1550030541,3,4
1550034144,1,5
1550037801,0,5
1550041401,3,0
1550045001,0,1
1550048604,0,1
1550052201,2,1
1550055807,1,1
1550059401,3,0
1550063001,0,4
1550066542,1,2
1550070202,1,0
1550073802,3,3
1550077405,1,7
1550081002,2,0
1550084606,2,1
1550088204,1,1
1550095401,1,1
1550098942,2,0
1550102543,1,5
1550106143,0,1
1550109802,1,0
1550113402,0,1
1550117002,0,10
1550120542,5,2
1550127802,3,4
1550131342,2,0
1550135002,2,0
1550138545,0,5
1550145802,3,0
1550152947,2,4
1550160144,1,4
1550163803,1,0
1550171006,1,6
1550174543,2,2
1550181806,1,2
1550188947,0,3
1550192603,0,1
1550196144,1,0
1550199804,0,1
1550203403,1,2
1550207005,4,3
1550214145,1,5
1550217745,2,0
1550221343,0,3
1550225004,4,1
1550228543,5,2
1550232205,1,1
1550239345,1,3
1550243004,1,0
1550246604,1,1
1550250204,2,0
1550253807,2,1
1550257345,2,0
1550261006,1,1
1550264544,2,0
1550268144,3,2
1550275344,0,2
1550286144,1,0
1550289744,2,3
1550293404,2,1
1550297004,1,1
1550300606,2,1
1550304144,1,3
1550307808,1,0
1550311346,1,4
1550318604,2,1
1550322204,2,1
1550325744,1,0
1550329345,1,1
1550336605,1,1
1550340209,2,0
1550343745,2,0
1550347405,0,1
1550350945,1,1
1550354550,1,1
1550358145,2,2
1550365405,1,0
1550369005,3,1
1550372605,0,3
1550376211,2,0
1550379805,2,5
1550383345,1,0
1550386949,1,2
1550390610,1,3
1550394148,2,1
1550397807,3,0
1550401408,1,2
