DateTime,Entries,UniqueIPs
1548288200,978,1072
1548295401,979,1073
1548298940,982,1076
1548306140,983,1077
1548309799,983,1077
1548313338,981,1075
1548316940,983,1077
1548317694,985,1079
1548320575,986,1080
1548324176,985,1079
1548331376,987,1081
1548335035,990,1084
1548338576,990,1084
1548342176,991,1085
1548345775,990,1084
1548346735,993,1087
1548352975,993,1087
1548356636,992,1086
1548360175,993,1087
1548363775,992,1086
1548367375,991,1085
1548370977,989,1083
1548374577,990,1084
1548378176,991,1085
1548381777,990,1084
1548385375,992,1086
1548388975,990,1084
1548392576,993,1087
1548396175,989,1083
1548399775,993,1087
1548403377,992,1086
1548414176,991,1085
1548417777,992,1086
1548421375,993,1087
1548424976,992,1086
1548432176,993,1087
1548435777,994,1088
1548439378,995,1089
1548442978,997,1091
1548450176,998,1093
1548453777,1003,1098
1548457378,1004,1099
1548460981,1006,1102
1548464577,1007,1103
1548468176,1006,1102
1548471778,1007,1104
1548475377,1006,1104
1548478976,1008,1106
1548482577,1010,1108
1548486185,1013,1111
1548489776,1010,1108
1548493441,1011,1109
1548496977,1009,1107
1548500636,1009,1107
1548504176,1010,1108
1548511378,1008,1106
1548514981,1010,1108
1548518577,1011,1109
1548522178,1013,1111
1548525784,1013,1111
1548529380,1012,1110
1548532978,1015,1113
1548536577,1012,1110
1548540183,1013,1111
1548547383,1012,1110
1548550978,1013,1111
1548554577,1011,1109
1548558178,1013,1111
1548561778,1013,1111
1548565380,1011,1109
1548568978,1009,1107
1548572577,1011,1109
1548576177,1010,1108
1548583377,1011,1109
1548590577,1013,1111
1548594183,1014,1112
1548597781,1016,1114
1548601382,1015,1113
1548608577,1017,1115
1548615777,1014,1112
1548619378,1015,1113
1548622983,1016,1115
1548626579,1012,1111
1548633784,1012,1111
1548637384,1013,1112
1548644579,1014,1113
1548648179,1013,1112
1548651779,1010,1109
1548655379,1005,1104
1548658978,1009,1108
1548666180,1011,1110
1548669778,1009,1108
1548673379,1008,1107
1548676979,1005,1104
1548680579,1005,1104
1548684179,1004,1103
1548691378,1002,1101
1548694980,1004,1104
1548698578,1002,1102
1548709380,1004,1104
1548712980,1005,1105
1548716579,1006,1106
1548727379,1008,1108
1548734580,1008,1108
1548738183,1009,1109
1548741779,1010,1110
1548745383,1010,1110
1548748981,1008,1108
1548756181,1010,1110
1548763380,1011,1111
1548770580,1009,1109
1548774181,1011,1111
1548777779,1009,1109
1548781379,1010,1110
1548784982,1011,1111
1548788580,1009,1109
1548795781,1010,1110
1548799380,1011,1111
1548806581,1012,1112
1548810180,1011,1111
1548813782,1012,1112
1548817384,1012,1112
1548820981,1013,1113
1548824582,1012,1111
1548828184,1008,1109
1548831784,1011,1112
1548839232,1007,1108
1548842587,1008,1109
1548846127,1009,1110
1548853392,1005,1106
1548856988,1005,1106
1548860592,1003,1104
1548864192,1001,1102
1548867793,1003,1104
1548871333,1005,1106
1548875049,999,1100
1548878587,1001,1102
1548882127,998,1099
1548885792,1000,1101
1548892989,999,1101
1548896589,998,1100
1548903849,995,1097
1548907389,991,1097
1548910988,994,1100
1548914589,995,1101
1548918191,997,1103
1548921789,998,1104
1548928990,999,1105
1548932588,997,1103
1548939791,994,1100
1548943389,996,1102
1548946989,997,1103
1548954193,998,1104
1548961392,998,1104
1548964928,998,1104
1548968589,1001,1107
1548972188,999,1105
1548975789,1000,1106
1548979388,1001,1107
1548982989,999,1108
1548986594,1009,1118
1548990189,1011,1120
1548993789,1012,1121
1548997395,1011,1120
1549000990,1014,1123
1549004594,1013,1122
1549008189,1012,1121
1549011790,1012,1121
1549015390,1007,1116
1549018993,1007,1116
1549022594,1008,1117
1549026192,1011,1120
1549029789,1014,1124
1549033389,1016,1128
1549036989,1011,1123
1549040589,1014,1126
1549044192,1015,1127
1549047792,1016,1129
1549051393,1017,1130
1549054993,1020,1133
1549058591,1019,1132
1549062135,1016,1128
1549065731,1018,1130
1549069330,1018,1130
1549072991,1017,1129
1549076650,1019,1130
1549080190,1020,1131
1549083790,1019,1130
1549087391,1018,1129
1549090931,1018,1129
1549094590,1020,1131
1549098192,1018,1129
1549105390,1016,1127
1549108931,1015,1126
1549112532,1018,1129
1549116190,1017,1127
1549119791,1017,1127
1549123391,1018,1128
1549130591,1018,1128
1549134190,1021,1131
1549137731,1023,1133
1549141391,1023,1133
1549148531,1023,1133
1549152192,1020,1130
1549162992,1022,1132
1549166592,1022,1132
1549170195,1023,1133
1549173792,1026,1136
1549177391,1026,1136
1549180991,1030,1140
1549184591,1029,1139
1549188193,1027,1137
1549191738,1029,1139
1549195393,1029,1139
1549198992,1026,1137
1549202532,1025,1136
1549206132,1026,1137
1549209792,1024,1135
1549213392,1028,1139
1549216992,1031,1142
1549224192,1030,1141
1549227792,1032,1143
1549231392,1033,1144
1549238592,1041,1155
1549242193,1042,1156
1549245792,1043,1157
1549249392,1044,1158
1549252993,1043,1157
1549256592,1043,1157
1549260193,1044,1158
1549263793,1044,1158
1549267332,1043,1157
1549274593,1046,1160
1549278193,1047,1161
1549285392,1047,1161
1549288992,1044,1158
1549292533,1045,1159
1549296133,1041,1155
1549299793,1045,1159
1549303394,1044,1158
1549306993,1045,1159
1549314193,1052,1183
1549317793,1051,1182
1549321333,1052,1183
1549324993,1053,1184
1549332192,1053,1183
1549335733,1052,1182
1549339334,1054,1184
1549342994,1054,1184
1549350193,1055,1185
1549353733,1055,1185
1549357393,1056,1186
1549360993,1057,1187
1549364593,1058,1188
1549365133,1056,1186
1549371798,1055,1185
1549375333,1056,1186
1549378993,1056,1186
1549382534,1059,1189
1549386195,1059,1189
1549389795,1061,1191
1549393394,1064,1194
1549400546,1062,1192
1549404193,1064,1194
1549411394,1062,1192
1549422194,1061,1191
1549425794,1064,1194
1549429395,1062,1190
1549436534,1059,1187
1549440194,1060,1188
1549443794,1063,1191
1549447394,1065,1193
1549450995,1066,1194
1549465395,1067,1194
1549468996,1067,1194
1549472594,1067,1194
1549476195,1068,1195
1549479795,1067,1194
1549483334,1066,1193
1549486995,1065,1192
1549490594,1063,1191
1549497794,1061,1189
1549501395,1062,1190
1549508594,1062,1190
1549512195,1060,1188
1549515795,1061,1189
1549519396,1057,1185
1549522935,1060,1188
1549526535,1061,1189
1549530196,1062,1190
1549533735,1058,1186
1549537396,1057,1185
1549540936,1058,1186
1549548196,1057,1185
1549551796,1057,1185
1549555335,1058,1187
1549558996,1055,1184
1549562595,1057,1186
1549566197,1058,1187
1549569796,1059,1189
1549573335,1056,1185
1549576995,1057,1186
1549580535,1056,1185
1549584195,1056,1185
1549587795,1058,1187
1549591395,1059,1188
1549594935,1059,1188
1549598536,1057,1186
1549602136,1060,1189
1549605736,1060,1189
1549609396,1057,1186
1549617376,1058,1187
1549623797,1059,1188
1549627397,1059,1188
1549630996,1056,1185
1549634597,1060,1189
1549638196,1059,1188
1549641797,1060,1189
1549645338,1058,1187
1549648997,1056,1185
1549652537,1057,1186
1549656136,1055,1184
1549659739,1054,1183
1549666938,1054,1183
1549670596,1056,1185
1549674137,1056,1185
1549677797,1057,1186
1549681396,1055,1184
1549684997,1055,1184
1549692197,1056,1185
1549695798,1056,1185
1549699398,1057,1186
1549706598,1057,1186
1549710138,1058,1187
1549717398,1055,1184
1549720998,1057,1186
1549724537,1056,1185
1549728139,1053,1182
1549735397,1052,1181
1549738937,1050,1179
1549746137,1048,1177
1549748837,1049,1178
1549753397,1048,1177
1549756997,1050,1179
1549760600,1052,1181
1549767738,1053,1182
1549771399,1053,1182
1549774938,1054,1183
1549778598,1053,1182
1549782199,1053,1182
1549789398,1054,1183
1549796599,1049,1178
1549800198,1052,1181
1549803798,1051,1180
1549807399,1052,1181
1549810938,1052,1181
1549814538,1053,1182
1549818199,1053,1182
1549825398,1053,1182
1549828999,1055,1184
1549832540,1053,1182
1549836139,1055,1184
1549839739,1057,1186
1549843338,1056,1185
1549850598,1054,1183
1549854200,1055,1184
1549857799,1054,1183
1549861340,1055,1184
1549864999,1055,1184
1549868599,1055,1184
1549872140,1054,1183
1549875739,1052,1181
1549879399,1054,1183
1549883000,1057,1186
1549886599,1058,1187
1549890200,1060,1189
1549893800,1060,1189
1549897400,1061,1190
1549900999,1060,1189
1549908260,1057,1186
1549911800,1061,1190
1549915400,1061,1190
1549919000,1063,1192
1549922600,1065,1194
1549926200,1064,1193
1549929739,1062,1191
1549933399,1063,1192
1549936939,1062,1191
1549940600,1061,1190
1549944200,1064,1194
1549947800,1064,1194
1549951400,1059,1189
1549955000,1061,1191
1549958540,1057,1187
1549962140,1052,1182
1549965800,1053,1183
1549969401,1053,1183
1549972940,1053,1183
1549980200,1053,1183
1549983800,1054,1184
1549987400,1052,1182
1549991000,1050,1180
1549994600,1051,1181
1549998200,1053,1183
1550001741,1054,1183
1550002100,1055,1184
1550005400,1054,1183
1550009000,1053,1182
1550012540,1055,1184
1550016201,1053,1182
1550019740,1054,1183
1550027002,1056,1185
1550030541,1055,1184
1550034144,1051,1180
1550037801,1046,1175
1550041401,1049,1178
1550045001,1048,1177
1550048604,1047,1176
1550052201,1048,1177
1550055807,1048,1177
1550059401,1051,1180
1550063001,1047,1176
1550066542,1046,1175
1550070202,1047,1176
1550073802,1047,1176
1550077405,1041,1170
1550081002,1043,1172
1550084606,1044,1173
1550088204,1044,1173
1550095401,1044,1173
1550098942,1046,1175
1550102543,1042,1171
1550106143,1041,1170
1550109802,1042,1171
1550113402,1041,1170
1550117002,1031,1160
1550120542,1034,1163
1550127802,1032,1162
1550131342,1034,1164
