DateTime,AddedIPs,RemovedIPs
1548432176,2,3
1548435777,2,4
1548439378,1,0
1548442978,2,1
1548450176,4,0
1548453777,7,2
1548457378,2,0
1548460981,6,4
1548464577,1,2
1548468176,1,2
1548471778,3,3
1548475377,1,1
1548478976,2,2
1548482577,6,8
1548486185,4,3
1548489776,3,1
1548493441,3,2
1548496977,0,2
1548500636,2,4
1548504176,1,1
1548507783,0,2
1548511378,2,1
1548514981,2,2
1548518577,2,2
1548522178,2,0
1548525784,2,1
1548529380,1,2
1548532978,4,0
1548540183,1,1
1548543782,0,1
1548547383,2,1
1548550978,1,2
1548554577,0,1
1548558178,2,3
1548561778,1,3
1548565380,2,1
1548572577,4,3
1548576177,1,1
1548583377,4,3
1548586977,0,2
1548590577,2,2
1548594183,2,3
1548597781,2,2
1548601382,1,1
1548608577,6,2
1548615777,0,2
1548619378,1,1
1548622983,3,1
1548626579,3,0
1548633784,1,1
1548637384,1,1
1548640982,0,1
1548644579,1,1
1548648179,1,2
1548651779,2,3
1548655379,2,1
1548658978,5,5
1548662583,1,1
1548666180,2,1
1548669778,1,2
1548673379,0,1
1548676979,0,1
1548680579,2,1
1548684179,1,3
1548687780,0,1
1548691378,0,2
1548694980,4,6
1548702180,0,3
1548705780,1,1
1548709380,3,2
1548712980,2,1
1548716579,2,0
1548720180,0,1
1548727379,2,1
1548730985,0,3
1548734580,3,0
1548738183,3,2
1548741779,2,1
1548745383,6,4
1548748981,1,0
1548752581,1,4
1548756181,4,2
1548759780,0,2
1548763380,1,3
1548766986,1,1
1548770580,1,1
1548774181,3,0
1548777779,1,1
1548781379,1,0
1548784982,2,2
1548788580,2,1
1548795781,2,4
1548799380,1,0
1548806581,1,0
1548810180,3,2
1548813782,1,0
1548817384,2,1
1548820981,1,1
1548824582,2,2
1548828184,2,3
1548831784,4,4
1548835381,0,1
1548839232,0,1
1548842587,5,1
1548846127,1,0
1548853392,2,1
1548856988,2,0
1548860592,0,2
1548864192,0,2
1548867793,3,3
1548871333,2,2
1548875049,2,1
1548878587,3,1
1548882127,0,1
1548885792,3,2
1548892989,1,4
1548896589,2,1
1548903849,0,1
1548907389,3,0
1548910988,5,3
1548914589,1,1
1548918191,5,5
1548921789,1,0
1548925389,1,0
1548928990,2,6
1548932588,4,3
1548939791,0,1
1548943389,2,2
1548946989,1,1
1548950591,0,1
1548954193,3,3
1548957788,0,1
1548961392,2,0
1548964928,2,2
1548968589,3,6
1548975789,2,2
1548979388,1,0
1548982989,2,1
1548986594,12,2
1548990189,2,1
1548993789,4,1
1548997395,0,2
1549000990,3,1
1549004594,3,3
1549008189,1,2
1549011790,1,1
1549015390,0,1
1549018993,5,1
1549022594,1,3
1549026192,5,4
1549029789,6,0
1549033389,5,0
1549036989,0,1
1549040589,4,2
1549044192,1,3
1549047792,3,2
1549051393,1,2
1549054993,3,1
1549058591,1,2
1549065731,2,1
1549069330,2,1
1549072991,2,1
1549076650,2,2
1549080190,1,1
1549083790,2,0
1549087391,1,3
1549090931,1,1
1549094590,2,1
1549098192,1,0
1549105390,1,1
1549108931,2,2
1549112532,3,4
1549116190,3,1
1549119791,2,3
1549123391,1,2
1549126991,0,6
1549130591,3,3
1549134190,4,3
1549137731,2,1
1549141391,2,5
1549144991,0,2
1549148531,4,3
1549152192,0,4
1549155791,0,4
1549159391,2,3
1549162992,5,1
1549166592,3,6
1549170195,2,2
1549173792,6,2
1549177391,4,3
1549180991,5,2
1549184591,1,1
1549188193,0,3
1549191738,2,2
1549195393,2,4
1549198992,2,1
1549202532,5,0
1549206132,1,0
1549209792,0,1
1549213392,4,1
1549216992,4,6
1549220592,0,1
1549224192,1,1
1549227792,2,1
1549231392,5,2
1549238592,15,0
1549242193,3,2
1549245792,2,1
1549249392,2,2
1549256592,3,3
1549260193,1,7
1549263793,4,4
1549267332,1,2
1549270993,0,2
1549274593,4,1
1549278193,3,0
1549285392,1,0
1549288992,2,1
1549292533,5,2
1549296133,3,1
1549299793,4,5
1549303394,4,2
1549306993,1,4
1549310532,4,0
1549314193,26,2
1549317793,1,2
1549321333,1,1
1549324993,2,8
1549328594,6,1
1549335733,1,2
1549339334,3,2
1549342994,6,3
1549350193,4,11
1549353733,1,6
1549357393,2,3
1549360993,3,3
1549364593,3,1
1549365133,2,0
1549368194,0,1
1549375333,4,0
1549378993,3,2
1549382534,3,3
1549386195,2,8
1549389795,4,4
1549393394,3,1
1549397003,1,1
1549400546,1,1
1549404193,3,1
1549407734,1,1
1549411394,2,6
1549414993,0,1
1549418598,1,0
1549425794,3,4
1549429395,1,5
1549432995,0,2
1549436534,2,3
1549440194,1,1
1549443794,3,1
1549447394,3,1
1549450995,1,0
1549454595,0,1
1549461734,0,5
1549465395,1,3
1549468996,2,0
1549472594,2,3
1549476195,3,7
1549479795,1,2
1549483334,1,0
1549486995,0,1
1549490594,1,1
1549494196,8,0
1549497794,2,5
1549501395,1,2
1549508594,1,2
1549512195,1,7
1549515795,2,3
1549519396,3,2
1549522935,3,4
1549526535,1,1
1549530196,3,0
1549533735,0,2
1549537396,1,7
1549540936,1,0
1549548196,0,2
1549551796,2,2
1549555335,2,4
1549558996,1,0
1549562595,2,0
1549566197,2,5
1549569796,4,3
1549573335,2,2
1549576995,2,2
1549580535,1,0
